rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_with_phd_score,staff_with_phd_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,employer_reputation_score,employer_reputation_rank
351-400,367,Universidad Autónoma de Tamaulipas (UAT),Mexico,Ciudad Victoria,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-tamaulipas-uat,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-tamaulipas-uat_592560cf2aeae70239af54a7_medium.jpg,9.9,201+,7.2,201+,8.4,151+,30.3,201+,13.7,201+,29.9,201+,14.2,201+,7.9,151+
351-400,368,Universidad Católica de Cuenca,Ecuador,Cuenca,Latin America,n/a,https://www.topuniversities.com/universities/universidad-catolica-de-cuenca,https://www.topuniversities.com/sites/default/files/universidad-catlica-de-cuenca_5d11bb0310ca605cf7512e4e_medium.jpg,3.2,201+,13.3,201+,14.5,151+,12.7,201+,4.4,201+,53.5,153,20,201+,11.8,151+
351-400,369,Universidad Del Quindío ,Colombia,Armenia,Latin America,n/a,https://www.topuniversities.com/universities/universidad-del-quindio,https://www.topuniversities.com/sites/default/files/universidad-del-quindo-_592560cf2aeae70239af5156_medium.jpg,35.7,194,9.8,201+,16.5,151+,15.6,201+,6.2,201+,20.9,201+,18,201+,8.3,151+
351-400,370,Universidad Galileo ,Guatemala,Guatemala City,Latin America,n/a,https://www.topuniversities.com/universities/universidad-galileo,https://www.topuniversities.com/sites/default/files/universidad-galileo-_592560cf2aeae70239af54f4_medium.jpg,n/a,n/a,1.2,201+,8.4,151+,86.8,38,1.2,201+,2.6,201+,14.9,201+,11.3,151+
351-400,371,Universidad Interamericana de Puerto Rico,Puerto Rico,Bayamón,Latin America,n/a,https://www.topuniversities.com/universities/universidad-interamericana-de-puerto-rico,https://www.topuniversities.com/sites/default/files/universidad-interamericana-de-puerto-rico_14211_medium.jpg,n/a,n/a,1.5,201+,9.1,151+,11.2,201+,41.3,143,1.4,201+,30.7,167,34.5,127
351-400,372,Universidad Internacional SEK,Ecuador,Distrito Metropolitano de Quito,Latin America,n/a,https://www.topuniversities.com/universities/universidad-internacional-sek,https://www.topuniversities.com/sites/default/files/logo_a4-002-90x90.jpg,11.5,201+,38.7,124,11.3,151+,11.2,201+,24.2,201+,8.3,201+,8.9,201+,11.7,151+
351-400,373,Universidad Libre ,Colombia,Bogotá D.C,Latin America,n/a,https://www.topuniversities.com/universities/universidad-libre,https://www.topuniversities.com/sites/default/files/universidad-libre-_592560cf2aeae70239af54fe_medium.jpg,3.2,201+,6.9,201+,11.5,151+,33.8,193,10.3,201+,28.4,201+,19.7,201+,19,151+
351-400,374,Universidad Nacional Federico Villarreal (UNFV),Peru,San Miguel,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-federico-villarreal-unfv,https://www.topuniversities.com/sites/default/files/universidad-nacional-federico-villarreal-unfv_592560cf2aeae70239af550b_medium.jpg,1.7,201+,6.8,201+,15.9,151+,20.7,201+,n/a,n/a,15.5,201+,10.1,201+,26.4,151+
351-400,375,Universidad Nacional de Chimborazo,Ecuador,Riobamba,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-chimborazo,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-chimborazo_5f17016110ca607597382fc9_medium.jpg,6,201+,13.2,201+,11.4,151+,34.7,186,17,201+,33.8,201+,18.3,201+,6,151+
351-400,376,Universidad Nacional de Entre Rios,Argentina,,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-entre-rios,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-entre-rios_592560df9988f300e23209d9_medium.jpg,8.7,201+,3.7,201+,13.6,151+,74.8,59,n/a,n/a,17.1,201+,26.1,201+,4.7,151+
