rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
=331,333,Hokkaido University,Japan,Sapporo,Asia,63.4,https://www.topuniversities.com/universities/hokkaido-university,https://www.topuniversities.com/sites/default/files/hokkaido-university_266_medium.jpg,60.4,=293,69.3,401+,81.7,401+,62.5,401+,54.8,401+
=331,334,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,Rio de Janeiro,Latin America,63.4,https://www.topuniversities.com/universities/pontificia-universidade-catolica-do-rio-de-janeiro,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-rio-de-janeiro_526_medium.jpg,57.1,=394,62.1,401+,74.2,401+,67.2,=281,48.4,401+
=335,335,Kobe University,Japan,Kobe City,Asia,63.3,https://www.topuniversities.com/universities/kobe-university,https://www.topuniversities.com/sites/default/files/kobe-university_320_medium.jpg,54.1,401+,62.8,401+,75.1,401+,69.8,=209,35.8,401+
=335,336,National University of Sciences & Technology (NUST) Islamabad,Pakistan,Islamabad,Asia,63.3,https://www.topuniversities.com/universities/national-university-sciences-technology-nust-islamabad,https://www.topuniversities.com/sites/default/files/240603070305am370964NUST-Signature-blue-90x90.jpg,62,=250,77.5,=311,88.3,=101,59.3,401+,52.3,401+
=335,337,Pontificia Universidad Católica de Valparaíso,Chile,Valparaíso,Latin America,63.3,https://www.topuniversities.com/universities/pontificia-universidad-catolica-de-valparaiso,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-valparaso_733_medium.jpg,61.8,=258,58.1,401+,71.9,401+,66.6,=298,33.2,401+
=335,338,University of Naples - Federico II,Italy,Naples,Europe,63.3,https://www.topuniversities.com/universities/university-naples-federico-ii,https://www.topuniversities.com/sites/default/files/university-of-naples-federico-ii_432_medium.jpg,56.5,401+,80.8,=203,81.8,401+,61.5,401+,68.9,86
=339,339,"The University of Newcastle, Australia (UON)",Australia,Callaghan,Oceania,63.2,https://www.topuniversities.com/universities/university-newcastle-australia-uon,https://www.topuniversities.com/sites/default/files/the-university-of-newcastle-australia-uon_449_medium.jpg,55.5,401+,85.6,=91,88.8,87,60.9,401+,59.7,272
=339,340,Ural Federal University - UrFU,Russia,Ekaterinburg,Europe,63.2,https://www.topuniversities.com/universities/ural-federal-university-urfu,https://www.topuniversities.com/sites/default/files/ural-federal-university-urfu_592560cf2aeae70239af505a_medium.jpg,62.9,=230,71.1,401+,75.1,401+,60.3,401+,64.7,=155
=341,341,Bina Nusantara University (BINUS),Indonesia,Jakarta,Asia,63.1,https://www.topuniversities.com/universities/bina-nusantara-university-binus,https://www.topuniversities.com/sites/default/files/bina-nusantara-university-binus_937_medium.jpg,63.3,=217,58.8,401+,67.6,401+,66.2,=308,29.8,401+
=341,342,University of Notre Dame,United States,Notre Dame,North America,63.1,https://www.topuniversities.com/universities/university-notre-dame,https://www.topuniversities.com/sites/default/files/university-of-notre-dame_458_medium.jpg,52.8,401+,74.5,401+,82.6,401+,66.2,=308,47.8,401+
=341,343,University of Porto,Portugal,Porto,Europe,63.1,https://www.topuniversities.com/universities/university-porto,https://www.topuniversities.com/sites/default/files/220603114500am903324university-of-porto-logo-90x90.jpg,53,401+,81.7,=177,80.2,401+,63.2,401+,70,=75
=341,344,University of Trento,Italy,Trento,Europe,63.1,https://www.topuniversities.com/universities/university-trento,https://www.topuniversities.com/sites/default/files/university-of-trento_623_medium.jpg,52.1,401+,72,401+,80.7,401+,66.6,=298,55.1,396
=341,345,Viet Nam National University Ho Chi Minh City (VNU-HCM),Vietnam,Ho Chi Minh City,Asia,63.1,https://www.topuniversities.com/universities/viet-nam-national-university-ho-chi-minh-city-vnu-hcm,https://www.topuniversities.com/sites/default/files/vietnam-national-university-ho-chi-minh-city-vnu-hcm_592560cf2aeae70239af4d92_medium.jpg,61.1,=273,70.7,401+,80.7,401+,62.8,401+,41,401+
=346,346,Istanbul University,Türkiye,Istanbul,Asia,63,https://www.topuniversities.com/universities/istanbul-university,https://www.topuniversities.com/sites/default/files/istanbul-university_592560cf2aeae70239af4bac_medium.jpg,62.5,=240,58.1,401+,69.7,401+,65.3,=341,40.4,401+
=346,347,National Taiwan Normal University (NTNU),Taiwan,Taipei City,Asia,63,https://www.topuniversities.com/universities/national-taiwan-normal-university-ntnu,https://www.topuniversities.com/sites/default/files/national-taiwan-normal-university_440_medium.jpg,53.3,401+,72,401+,84.5,=345,67.8,=261,28,401+
=346,348,UNESP,Brazil,Sao Paulo,Latin America,63,https://www.topuniversities.com/universities/unesp,https://www.topuniversities.com/sites/default/files/unesp_492_medium.jpg,59.9,=303,71.1,401+,73.1,401+,63.5,401+,48.7,401+
=346,349,Western Sydney University,Australia,Milperra,Oceania,63,https://www.topuniversities.com/universities/western-sydney-university,https://www.topuniversities.com/sites/default/files/western-sydney-university_848_medium.jpg,55.2,401+,75.3,=387,81.5,401+,62.4,401+,70.4,=69
=350,350,American University,United States,Washington D.C.,North America,62.9,https://www.topuniversities.com/universities/american-university,https://www.topuniversities.com/sites/default/files/american-university_17_medium.jpg,57.6,=380,69.7,401+,82.2,401+,64.7,=364,37.9,401+
=350,351,Kyushu University,Japan,Fukuoka City,Asia,62.9,https://www.topuniversities.com/universities/kyushu-university,https://www.topuniversities.com/sites/default/files/kyushu-university_331_medium.jpg,60.9,=280,71.1,401+,81.1,401+,61.8,401+,45.9,401+
=350,352,University of Antwerp,Belgium,Antwerp,Europe,62.9,https://www.topuniversities.com/universities/university-antwerp,https://www.topuniversities.com/sites/default/files/220301072725am708442Logo-UAntwerpen-90x90.jpg,50.1,401+,78.2,=291,82.7,401+,64.6,=367,70.5,=67
=353,353,Audencia Business School,France,Nantes,Europe,62.8,https://www.topuniversities.com/universities/audencia-business-school,https://www.topuniversities.com/sites/default/files/audencia-business-school_592560cf2aeae70239af4db3_medium.jpg,53.3,401+,67.8,401+,79.9,401+,67.4,=275,40.3,401+
=353,354,Heriot-Watt University,United Kingdom,Edinburgh,Europe,62.8,https://www.topuniversities.com/universities/heriot-watt-university,https://www.topuniversities.com/sites/default/files/241128020331pm630627qs-logo-90x90.jpg,62,=250,73.7,401+,87.1,=153,58.8,401+,55.5,=382
=353,355,Istanbul Technical University,Türkiye,Istanbul,Asia,62.8,https://www.topuniversities.com/universities/istanbul-technical-university,https://www.topuniversities.com/sites/default/files/istanbul-technical-university_296_medium.jpg,69.5,=110,68.3,401+,76.8,401+,58.3,401+,39,401+
=353,356,Sabanci University,Türkiye,Istanbul,Asia,62.8,https://www.topuniversities.com/universities/sabanci-university,https://www.topuniversities.com/sites/default/files/250702100245pm254411Sabanci-University-90x90.jpeg,64.5,=200,58.1,401+,67,401+,65.1,=352,31.3,401+
=353,357,Saint Petersburg State University,Russia,Saint Petersburg,Europe,62.8,https://www.topuniversities.com/universities/saint-petersburg-state-university,https://www.topuniversities.com/sites/default/files/saint-petersburg-state-university_592560cf2aeae70239af4cc0_medium.jpg,64.6,=198,59.5,401+,60.4,401+,63.6,401+,53.1,401+
=353,358,Universidad de Sevilla,Spain,Seville,Europe,62.8,https://www.topuniversities.com/universities/universidad-de-sevilla,https://www.topuniversities.com/sites/default/files/universidad-de-sevilla_554_medium.jpg,50.3,401+,77.5,=311,78.6,401+,66,=316,59.8,=269
=353,359,University of Kent,United Kingdom,Canterbury,Europe,62.8,https://www.topuniversities.com/universities/university-kent,https://www.topuniversities.com/sites/default/files/university-of-kent_315_medium.jpg,51.9,401+,78.5,=281,86.1,=218,62.7,401+,70.9,=62
=353,360,University of Pittsburgh,United States,Pittsburgh,North America,62.8,https://www.topuniversities.com/universities/university-pittsburgh,https://www.topuniversities.com/sites/default/files/250923063818pm705607114803-Grad-Stud-Logo-Resize-for-Handshake-Profile-150x150-90x90.jpg,54.1,401+,79.2,=251,82.9,401+,63.1,401+,58,=315
=353,361,"Vietnam National University, Hanoi",Vietnam,Hanoi,Asia,62.8,https://www.topuniversities.com/universities/vietnam-national-university-hanoi,https://www.topuniversities.com/sites/default/files/vietnam-national-university-hanoi-_592560cf2aeae70239af523a_medium.jpg,58.5,=344,71.1,401+,85.6,=255,61,401+,60,=265
=362,362,Cranfield University,United Kingdom,Bedford,Europe,62.7,https://www.topuniversities.com/universities/cranfield-university,https://www.topuniversities.com/sites/default/files/220318023223pm780246Cranf-logo-90x90.jpg,57.3,=390,79.2,=251,90.6,=44,59.2,401+,63.1,=184
=362,363,Universiti Teknologi MARA - UiTM,Malaysia,Shah Alam,Asia,62.7,https://www.topuniversities.com/universities/universiti-teknologi-mara-uitm,https://www.topuniversities.com/sites/default/files/universiti-teknologi-mara-uitm_732_medium.jpg,49.9,401+,71.6,401+,73.7,401+,68.9,=227,48,401+
=362,364,University of Turin,Italy,Turin,Europe,62.7,https://www.topuniversities.com/universities/university-turin,https://www.topuniversities.com/sites/default/files/university-of-turin_632_medium.jpg,49.8,401+,82,=168,82.4,401+,64.8,=360,61.3,=226
=365,365,Azerbaijan State University of Economics,Azerbaijan,Baku,Asia,62.6,https://www.topuniversities.com/universities/azerbaijan-state-university-economics,https://www.topuniversities.com/sites/default/files/azerbaijan-state-university-of-economics_14955_medium.jpg,66.9,149,53.2,401+,57.7,401+,65.7,=328,27.7,401+
=365,366,Paris School of Economics ,France,Paris,Europe,62.6,https://www.topuniversities.com/universities/paris-school-economics,https://www.topuniversities.com/sites/default/files/paris-school-of-economics-_592560cf2aeae70239af5806_medium.jpg,42.7,401+,62.8,401+,75.7,401+,75.9,=101,29.2,401+
=365,367,Sogang University,South Korea,Seoul,Asia,62.6,https://www.topuniversities.com/universities/sogang-university,https://www.topuniversities.com/sites/default/files/sogang-university_565_medium.jpg,61.9,=256,55,401+,64.9,401+,68,=254,21.3,401+
=365,368,Sunway University,Malaysia,Kuala Lumpur,Asia,62.6,https://www.topuniversities.com/universities/sunway-university,https://www.topuniversities.com/sites/default/files/sunway-university_592560cf2aeae70239af4db8_medium.jpg,56.6,401+,74.5,401+,88,=113,61.4,401+,54,401+
=365,369,"University of Rome ""Tor Vergata""",Italy,Rome,Europe,62.6,https://www.topuniversities.com/universities/university-rome-tor-vergata,https://www.topuniversities.com/sites/default/files/university-of-rome-tor-vergata_592560cf2aeae70239af4c99_medium.jpg,54.8,401+,71.6,401+,81.5,401+,65.2,=347,42.5,401+
=365,370,University of Salamanca,Spain,Salamanca,Europe,62.6,https://www.topuniversities.com/universities/university-salamanca,https://www.topuniversities.com/sites/default/files/university-of-salamanca_544_medium.jpg,54.8,401+,72.4,401+,77.2,401+,64,=387,59.1,=281
=371,371,Aston University,United Kingdom,Birmingham,Europe,62.5,https://www.topuniversities.com/universities/aston-university,https://www.topuniversities.com/sites/default/files/250909012709pm723207Untitled-design-90x90.jpg,51.5,401+,80.8,=203,92.3,23,61.9,401+,61.7,=211
=371,372,University of Dhaka,Bangladesh,Dhaka,Asia,62.5,https://www.topuniversities.com/universities/university-dhaka,https://www.topuniversities.com/sites/default/files/university-of-dhaka_158_medium.jpg,55.8,401+,73.3,401+,84.1,=378,63.6,401+,42.8,401+
=371,373,Vrije Universiteit Brussel (VUB),Belgium,Brussels,Europe,62.5,https://www.topuniversities.com/universities/vrije-universiteit-brussel-vub,https://www.topuniversities.com/sites/default/files/vrije-universiteit-brussel-vub_74_medium.jpg,52.1,401+,74.5,401+,83.3,401+,63.4,401+,65.7,=140
=374,374,Institut Teknologi Bandung (ITB),Indonesia,Bandung,Asia,62.4,https://www.topuniversities.com/universities/institut-teknologi-bandung-itb,https://www.topuniversities.com/sites/default/files/bandung-institute-of-technology-itb_41_medium.jpg,60.6,=289,61.5,401+,71.9,401+,65.4,=336,31.2,401+
=374,375,University of Colorado Boulder,United States,Boulder,North America,62.4,https://www.topuniversities.com/universities/university-colorado-boulder,https://www.topuniversities.com/sites/default/files/university-of-colorado-boulder_137_medium.jpg,55,401+,81.1,=196,83.9,=393,61.7,401+,54,401+
=374,376,WHU - Otto Beisheim School of Management ,Germany,Vallendar,Europe,62.4,https://www.topuniversities.com/universities/whu-otto-beisheim-school-management,https://www.topuniversities.com/sites/default/files/Design-ohne-Titel-90x90.jpg,52.5,401+,66.7,401+,75,401+,69,226,29.9,401+
=377,377,East China Normal University,China (Mainland),Shanghai,Asia,62.3,https://www.topuniversities.com/universities/east-china-normal-university,https://www.topuniversities.com/sites/default/files/east-china-normal-university_592560cf2aeae70239af4def_medium.jpg,57.3,=390,86.4,=79,87.3,=144,58.8,401+,53.2,401+
=377,378,Shanghai University,China (Mainland),Shanghai,Asia,62.3,https://www.topuniversities.com/universities/shanghai-university,https://www.topuniversities.com/sites/default/files/shanghai-university_557_medium.jpg,58.9,=334,81.7,=177,87.5,=134,59.3,401+,46.3,401+
=377,379,Universidad de Antioquia,Colombia,Medellin,Latin America,62.3,https://www.topuniversities.com/universities/universidad-de-antioquia,https://www.topuniversities.com/sites/default/files/universidad-de-antioquia_592560cf2aeae70239af5149_medium.jpg,64.5,=200,60.2,401+,70.2,401+,63.5,401+,27.6,401+
=377,380,University of Miami,United States,Miami,North America,62.3,https://www.topuniversities.com/universities/university-miami,https://www.topuniversities.com/sites/default/files/university-of-miami_401_medium.jpg,56.8,401+,76,=360,84,=385,60.2,401+,62.2,=203
=377,381,University of Pretoria,South Africa,Pretoria,Africa,62.3,https://www.topuniversities.com/universities/university-pretoria,https://www.topuniversities.com/sites/default/files/university-of-pretoria_506_medium.jpg,51.9,401+,74.5,401+,76.6,401+,63.7,=400,70,=75
=382,382,Corvinus University of Budapest,Hungary,Budapest,Europe,62.2,https://www.topuniversities.com/universities/corvinus-university-budapest,https://www.topuniversities.com/sites/default/files/250321103918am220555corvinus-University-logo-black-90x90.jpg,55.5,401+,58.8,401+,75.4,401+,66.1,=313,47.8,401+
=382,383,Coventry University,United Kingdom,Coventry,Europe,62.2,https://www.topuniversities.com/universities/coventry-university,https://www.topuniversities.com/sites/default/files/coventry-university_592560cf2aeae70239af4b16_medium.jpg,55.7,401+,79.2,=251,87.2,=150,58.8,401+,72.8,49
=382,384,De La Salle University,Philippines,Manila,Asia,62.2,https://www.topuniversities.com/universities/de-la-salle-university,https://www.topuniversities.com/sites/default/files/de-la-salle-university_153_medium.jpg,58.2,=353,60.8,401+,74,401+,66,=316,32.1,401+
=382,385,Rice University,United States,Houston,North America,62.2,https://www.topuniversities.com/universities/rice-university,https://www.topuniversities.com/sites/default/files/rice-university_524_medium.jpg,57.1,=394,69.7,401+,82.1,401+,64,=387,34.1,401+
=382,386,Universidad de Costa Rica,Costa Rica,San Jose,Latin America,62.2,https://www.topuniversities.com/universities/universidad-de-costa-rica,https://www.topuniversities.com/sites/default/files/universidad-de-costa-rica_789_medium.jpg,54.9,401+,55.8,401+,64.3,401+,69.5,=219,40.4,401+
=382,387,University of Galway,Ireland,Galway,Europe,62.2,https://www.topuniversities.com/universities/university-galway,https://www.topuniversities.com/sites/default/files/230111113541am417642Logo-QS-90x90.jpg,58.2,=353,73.7,401+,83.4,401+,60.6,401+,53.9,401+
=388,388,Abu Dhabi University,United Arab Emirates,Abu Dhabi,Asia,62.1,https://www.topuniversities.com/universities/abu-dhabi-university,https://www.topuniversities.com/sites/default/files/250227042852am570201Logo-ADU-90x90.jpg,56.1,401+,72.4,401+,84.4,=355,61.7,401+,54.1,401+
=388,389,Al-Farabi Kazakh National University,Kazakhstan,Almaty,Asia,62.1,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university,https://www.topuniversities.com/sites/default/files/240206083847am456393logo-1-90x90.jpg,60,302,55,401+,64.7,401+,65.3,=341,48.9,401+
=388,390,Mahidol University,Thailand,Nakhon Pathom,Asia,62.1,https://www.topuniversities.com/universities/mahidol-university,https://www.topuniversities.com/sites/default/files/mahidol-university_381_medium.jpg,52.6,401+,68.3,401+,78.3,401+,65.9,=321,46.5,401+
=388,391,National Sun Yat-sen University,Taiwan,Kaohsiung City,Asia,62.1,https://www.topuniversities.com/universities/national-sun-yat-sen-university,https://www.topuniversities.com/sites/default/files/national-sun-yat-sen-university_439_medium.jpg,54.1,401+,66.7,401+,81.1,401+,66.4,306,31.2,401+
=388,392,Plekhanov Russian University of Economics,Russia,Moscow,Europe,62.1,https://www.topuniversities.com/universities/plekhanov-russian-university-economics,https://www.topuniversities.com/sites/default/files/250206094506am819525Logo200x200-90x90.jpg,63.6,=214,56.6,401+,68.9,401+,61.8,401+,54.9,401+
=388,393,"University of California, Irvine",United States,Irvine,North America,62.1,https://www.topuniversities.com/universities/university-california-irvine,https://www.topuniversities.com/sites/default/files/251015062328pm672635SSoE-200x200-90x90.jpg,51.3,401+,83.4,=137,86.3,=202,62.8,401+,51,401+
=394,394,Babes-Bolyai University,Romania,Cluj-Napoca,Europe,62,https://www.topuniversities.com/universities/babes-bolyai-university,https://www.topuniversities.com/sites/default/files/babes-bolyai-university_592560cf2aeae70239af5299_medium.jpg,54.9,401+,69.3,401+,78.9,401+,62.3,401+,64.4,=162
=394,395,City University of New York,United States,New York City,North America,62,https://www.topuniversities.com/universities/city-university-new-york,https://www.topuniversities.com/sites/default/files/city-university-of-new-york_149_medium.jpg,58,=363,80.5,=213,78,401+,58.8,401+,66,138
=394,396,Universidad Nacional de Córdoba - UNC,Argentina,Córdoba,Latin America,62,https://www.topuniversities.com/universities/universidad-nacional-de-cordoba-unc,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-crdoba-unc_592560cf2aeae70239af511e_medium.jpg,64.6,=198,55.8,401+,66.2,401+,63.8,=397,30.9,401+
=394,397,Universidad Panamericana (UP),Mexico,Mexico City,Latin America,62,https://www.topuniversities.com/universities/universidad-panamericana,https://www.topuniversities.com/sites/default/files/220110044732pm195521Logo-QS-Hub-v2-90x90.jpg,66.2,=160,43.8,401+,52.5,401+,68.3,=243,14.7,401+
=394,398,University of Florence,Italy,Florence,Europe,62,https://www.topuniversities.com/universities/university-florence,https://www.topuniversities.com/sites/default/files/university-of-florence_208_medium.jpg,52,401+,76.7,=332,80.3,401+,63.5,401+,57.7,=323
=394,399,University of Johannesburg,South Africa,Johannesburg,Africa,62,https://www.topuniversities.com/universities/university-johannesburg,https://www.topuniversities.com/sites/default/files/university-of-johannesburg-_592560cf2aeae70239af4f46_medium.jpg,47.4,401+,86.8,=63,81.8,401+,61.1,401+,92.4,2
=394,400,Vanderbilt University,United States,Nashville,North America,62,https://www.topuniversities.com/universities/vanderbilt-university,https://www.topuniversities.com/sites/default/files/vanderbilt-university_649_medium.jpg,48.3,401+,79.5,=247,86.4,=195,64.8,=360,53.9,401+
401-450,401,Aix-Marseille University,France,Marseille,Europe,n/a,https://www.topuniversities.com/universities/aix-marseille-university,https://www.topuniversities.com/sites/default/files/aix-marseille-university_592560cf2aeae70239af51e1_medium.jpg,44.3,401+,71.1,401+,74.8,401+,66,=316,76.5,25
401-450,402,Albert-Ludwigs-Universitaet Freiburg,Germany,Freiburg im Breisgau,Europe,n/a,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg,https://www.topuniversities.com/sites/default/files/240117022940pm384573UFR-Kurzform-200x200-Zeichenfl%C3%A4che-1-Zeichenfl%C3%A4che-1-90x90.jpg,46.7,401+,71.6,401+,84.1,=378,64.7,=364,59,=283
401-450,403,Ateneo de Manila University,Philippines,Quezon City,Asia,n/a,https://www.topuniversities.com/universities/ateneo-de-manila-university,https://www.topuniversities.com/sites/default/files/ateneo-de-manila-university_592560cf2aeae70239af4aa1_medium.jpg,58,=363,52.3,401+,60.9,401+,67.8,=261,39.9,401+
401-450,404,"Babson College, F.W. Olin Graduate School of Business",United States,Wellesley,North America,n/a,https://www.topuniversities.com/universities/babson-college-fw-olin-graduate-school-business,https://www.topuniversities.com/sites/default/files/220404025748pm977408BabsonWordmark-S-green-jpg-logo-90x90.jpg,54.2,401+,64.5,401+,75.4,401+,66.5,=302,28.8,401+
401-450,405,Brunel University of London,United Kingdom,London,Europe,n/a,https://www.topuniversities.com/universities/brunel-university-london,https://www.topuniversities.com/sites/default/files/241011103940am405152BD-691-QS-Logo-for-brand-profile-200x200px-HP-v1-90x90.jpg,55.3,401+,79.8,=239,88.1,=111,57,401+,65.2,=150
401-450,406,COMSATS University Islamabad,Pakistan,Islamabad,Asia,n/a,https://www.topuniversities.com/universities/comsats-university-islamabad,https://www.topuniversities.com/sites/default/files/comsats-university-islamabad_592560cf2aeae70239af52bb_medium.jpg,54.9,401+,84.8,=107,93.7,13,56.2,401+,64.6,158
401-450,407,Ca' Foscari University of Venice,Italy,Venice,Europe,n/a,https://www.topuniversities.com/universities/ca-foscari-university-venice,https://www.topuniversities.com/sites/default/files/250311030733pm324084Logo-Square-JPEG-ZOOM-WAITING-ROOM-90x90.jpg,54,401+,70.2,401+,78.7,401+,63.9,=392,50.6,401+
401-450,408,Chandigarh University,India,Mohali,Asia,n/a,https://www.topuniversities.com/universities/chandigarh-university,https://www.topuniversities.com/sites/default/files/chandigarh-university_600ebd4710ca6037cb12c714_medium.jpg,63.8,=210,66.2,401+,74.8,401+,58.8,401+,51.3,401+
401-450,409,Chung-Ang University (CAU),South Korea,Seoul,Asia,n/a,https://www.topuniversities.com/universities/chung-ang-university-cau,https://www.topuniversities.com/sites/default/files/260330120819am627163%ED%99%94%EB%A9%B4-%EC%BA%A1%EC%B2%98-2026-03-30-090753-90x90.jpg,55,401+,71.1,401+,86,=226,64.7,=364,24.1,401+
401-450,410,Emory University,United States,Atlanta,North America,n/a,https://www.topuniversities.com/universities/emory-university,https://www.topuniversities.com/sites/default/files/emory-university_185_medium.jpg,53,401+,76,=360,82.8,401+,62,401+,60.6,=246
401-450,411,Ewha Womans University,South Korea,Seoul,Asia,n/a,https://www.topuniversities.com/universities/ewha-womans-university,https://www.topuniversities.com/sites/default/files/ewha-womans-university_592560cf2aeae70239af4b38_medium.jpg,52.4,401+,64.5,401+,75.9,401+,65.7,=328,40.5,401+
401-450,412,Federal University of Minas Gerais (UFMG),Brazil,Belo Horizonte,Latin America,n/a,https://www.topuniversities.com/universities/federal-university-minas-gerais-ufmg,https://www.topuniversities.com/sites/default/files/universidade-federal-de-minas-gerais_1727_medium.jpg,54.4,401+,68.3,401+,72.3,401+,63.9,=392,42.5,401+
401-450,413,Hacettepe University ,Türkiye,Ankara,Asia,n/a,https://www.topuniversities.com/universities/hacettepe-university,https://www.topuniversities.com/sites/default/files/hacettepe-university-_592560cf2aeae70239af4d8c_medium.jpg,60.8,=285,62.1,401+,73.1,401+,60.9,401+,43.3,401+
401-450,414,INTI International University,Malaysia,Nilai,Asia,n/a,https://www.topuniversities.com/universities/inti-international-university,https://www.topuniversities.com/sites/default/files/inti-international-university-colleges_592560e49988f300e2321830_medium.jpg,67.1,=143,47.3,401+,52,401+,63.5,401+,31.1,401+
401-450,415,Indian Institute of Management (IIM) - Indore,India,Indore,Asia,n/a,https://www.topuniversities.com/universities/indian-institute-management-iim-indore,https://www.topuniversities.com/sites/default/files/indian-institute-of-management-iim-indore_592560cf2aeae70239af51f5_medium.jpg,65,=190,60.2,401+,69.8,401+,60.9,401+,30.3,401+
401-450,416,"IÉSEG School of Management, Lille - Paris, France",France,Lille,Europe,n/a,https://www.topuniversities.com/universities/ieseg-school-management-lille-paris-france,https://www.topuniversities.com/sites/default/files/iseg-school-of-management-lille-paris-france_2447_medium.jpg,47.5,401+,66.2,401+,80.7,401+,68.6,=238,42.7,401+
401-450,417,Lebanese American University,Lebanon,Byblos,Asia,n/a,https://www.topuniversities.com/universities/lebanese-american-university,https://www.topuniversities.com/sites/default/files/lebanese-american-university_592560cf2aeae70239af4eed_medium.jpg,58.9,=334,73.7,401+,88.9,=81,56,401+,66.7,=124
401-450,418,Lovely Professional University (LPU),India,Chaheru,Asia,n/a,https://www.topuniversities.com/universities/lovely-professional-university-lpu,https://www.topuniversities.com/sites/default/files/Logo-2-90x90.jpg,65.6,=176,72.4,401+,79.2,401+,56.1,401+,38.9,401+
401-450,419,Multimedia University (MMU),Malaysia,Cyberjaya,Asia,n/a,https://www.topuniversities.com/universities/multimedia-university-mmu,https://www.topuniversities.com/sites/default/files/250303023213am305823MMU-logo-QS-90x90.jpg,58.8,337,62.8,401+,72.5,401+,63.5,401+,40.9,401+
401-450,420,NEOMA Business School France,France,Paris,Europe,n/a,https://www.topuniversities.com/universities/neoma-business-school-france,https://www.topuniversities.com/sites/default/files/neoma-business-school-france_592560cf2aeae70239af4fae_medium.jpg,46.6,401+,71.1,401+,86.1,=218,67.4,=275,47.5,401+
401-450,421,Nankai University,China (Mainland),Tianjin,Asia,n/a,https://www.topuniversities.com/universities/nankai-university,https://www.topuniversities.com/sites/default/files/nankai-university_882_medium.jpg,52.8,401+,87.6,=53,91.3,=35,60.3,401+,37.6,401+
401-450,422,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Taipei City,Asia,n/a,https://www.topuniversities.com/universities/national-taiwan-university-science-technology-taiwan-tech,https://www.topuniversities.com/sites/default/files/national-taiwan-university-of-science-and-technology-taiwan-tech_590_medium.jpg,59.1,=330,73.7,401+,85.7,=246,59.6,401+,34.3,401+
401-450,423,National Yang Ming Chiao Tung University (NYCU Taiwan),Taiwan,Hsinchu City,Asia,n/a,https://www.topuniversities.com/universities/national-yang-ming-chiao-tung-university-nycu-taiwan,https://www.topuniversities.com/sites/default/files/230525091126am408938230525%40400x-100-90x90.jpg,60.8,=285,68.8,401+,79.9,401+,61,401+,36.1,401+
401-450,424,National and Kapodistrian University of Athens,Greece,Athens,Europe,n/a,https://www.topuniversities.com/universities/national-kapodistrian-university-athens,https://www.topuniversities.com/sites/default/files/national-and-kapodistrian-university-of-athens_33_medium.jpg,56.5,401+,69.7,401+,76.9,401+,61.4,401+,49,401+
401-450,425,Northeastern University,United States,Boston,North America,n/a,https://www.topuniversities.com/universities/northeastern-university,https://www.topuniversities.com/sites/default/files/northeastern-university_454_medium.jpg,51.4,401+,82,=168,89,=77,62.6,401+,47.2,401+
401-450,426,Norwegian University of Science And Technology,Norway,Trondheim,Europe,n/a,https://www.topuniversities.com/universities/norwegian-university-science-technology,https://www.topuniversities.com/sites/default/files/norwegian-university-of-science-and-technology_457_medium.jpg,50.6,401+,84.3,=116,85.3,=279,60.2,401+,70.3,72
401-450,427,Prague University of Economics and Business,Czechia,Prague,Europe,n/a,https://www.topuniversities.com/universities/prague-university-economics-business,https://www.topuniversities.com/sites/default/files/221024091131am643122VSE-5-EN-logo-rgb-90x90.jpg,52.9,401+,58.1,401+,75,401+,67.3,280,44.8,401+
401-450,428,Sichuan University,China (Mainland),Chengdu,Asia,n/a,https://www.topuniversities.com/universities/sichuan-university,https://www.topuniversities.com/sites/default/files/sichuan-university_885_medium.jpg,63.1,=223,86.6,=73,86.3,=202,54.4,401+,51.1,401+
401-450,429,Stellenbosch University,South Africa,Stellenbosch,Africa,n/a,https://www.topuniversities.com/universities/stellenbosch-university,https://www.topuniversities.com/sites/default/files/231205074857am619842su-logo-200x200-90x90.jpg,51,401+,71.6,401+,76.7,401+,64.4,=376,62.6,=195
401-450,430,Symbiosis International (Deemed University),India,Pune,Asia,n/a,https://www.topuniversities.com/universities/symbiosis-international-deemed-university,https://www.topuniversities.com/sites/default/files/231020084546am287151Symbiosis-International-University-Logo-90x90.jpg,61,=277,72.4,401+,81.3,401+,58.5,401+,41.5,401+
401-450,431,Technische Universität Berlin (TU Berlin),Germany,Berlin,Europe,n/a,https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin,https://www.topuniversities.com/sites/default/files/technische-universitt-berlin-tu-berlin_595_medium.jpg,61.4,=265,78.2,=291,84.8,=321,55.2,401+,57.5,=331
