rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
=187,188,Newcastle University,United Kingdom,Newcastle upon Tyne,Europe,68.4,https://www.topuniversities.com/universities/newcastle-university,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_medium.jpg,66.2,=160,84,=126,85.8,=240,64.5,=372,70.4,=69
=187,189,Sungkyunkwan University (SKKU),South Korea,Seoul,Asia,68.4,https://www.topuniversities.com/universities/sungkyunkwan-university-skku,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_medium.jpg,62.4,=243,74.9,401+,82.6,401+,72.7,=147,29.5,401+
=190,190,Aarhus University,Denmark,Aarhus,Europe,68.3,https://www.topuniversities.com/universities/aarhus-university,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_medium.jpg,51.8,401+,85.6,=91,84.6,=340,72.3,=157,77.8,=21
=190,191,Ghent University,Belgium,Ghent,Europe,68.3,https://www.topuniversities.com/universities/ghent-university,https://www.topuniversities.com/sites/default/files/ghent-university_228_medium.jpg,58.5,=344,85.3,=98,84.3,=366,67.1,=285,89,3
=190,192,Sorbonne University,France,Paris,Europe,68.3,https://www.topuniversities.com/universities/sorbonne-university,https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_medium.jpg,70.6,95,72,401+,75.6,401+,65.2,=347,68.3,95
=193,193,Stockholm University,Sweden,Stockholm,Europe,68.2,https://www.topuniversities.com/universities/stockholm-university,https://www.topuniversities.com/sites/default/files/stockholm-university_577_medium.jpg,51.9,401+,84.3,=116,85.7,=246,72.9,=143,67.6,106
=193,194,University of Sussex,United Kingdom,Brighton,Europe,68.2,https://www.topuniversities.com/universities/university-sussex,https://www.topuniversities.com/sites/default/files/260317044134pm839571UoS-Stacked-logo-CMYK-Black-on-White-90x90.jpg,55.4,401+,84,=126,86.3,=202,70.6,=186,71.1,61
=193,195,York University,Canada,Toronto,North America,68.2,https://www.topuniversities.com/universities/york-university,https://www.topuniversities.com/sites/default/files/york-university_592560cf2aeae70239af4d39_medium.jpg,61.4,=265,78.8,=267,80.2,401+,70.3,=192,54.5,401+
=196,196,"City St George’s, University of London",United Kingdom,London,Europe,68.1,https://www.topuniversities.com/universities/city-st-georges-university-london,https://www.topuniversities.com/sites/default/files/250714100347am877855240911011532pm115235Picture1-200x200-90x90.jpg,59.6,=316,77.1,=323,85.4,=271,70.3,=192,58.1,=311
=196,197,Indian Institute of Technology Kharagpur (IIT-KGP),India,Kharagpur,Asia,68.1,https://www.topuniversities.com/universities/indian-institute-technology-kharagpur-iit-kgp,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-kharagpur-iit-kgp_285_medium.jpg,78.4,=38,80.5,=213,87.4,=139,58.7,401+,53.7,401+
=196,198,Universidade Nova de Lisboa,Portugal,Lisbon,Europe,68.1,https://www.topuniversities.com/universities/universidade-nova-de-lisboa,https://www.topuniversities.com/sites/default/files/250708114440am556961NOVA-logo-square-90x90.jpg,59.7,=314,77.5,=311,81.9,401+,70.5,=188,60.4,=250
=199,199,Griffith University,Australia,Nathan,Oceania,68,https://www.topuniversities.com/universities/griffith-university,https://www.topuniversities.com/sites/default/files/250520124305am681487GU-Logo-International-Red-on-White-Square-90x90.jpg,53.1,401+,87.6,=53,86.5,=190,70.8,=182,73,=45
=199,200,Universidade Estadual de Campinas (Unicamp),Brazil,Campinas,Latin America,68,https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-campinas-unicamp_96_medium.jpg,66.7,=152,72.4,401+,74.9,401+,68.9,=227,49.4,401+
=199,201,University of Otago,New Zealand,Dunedin,Oceania,68,https://www.topuniversities.com/universities/university-otago,https://www.topuniversities.com/sites/default/files/250220051447pm493728240508092847pm590994Image-09-05-2024-at-9.28%E2%80%AFAM-200x200-90x90.jpg,59.9,=303,76,=360,83.6,401+,70.3,=192,58.6,=296
=202,202,EPFL – École polytechnique fédérale de Lausanne,Switzerland,Lausanne,Europe,67.9,https://www.topuniversities.com/universities/epfl-ecole-polytechnique-federale-de-lausanne,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_medium.jpg,76.2,=53,78.5,=281,87.3,=144,59.8,401+,54.9,401+
=202,203,Hanyang University,South Korea,Seoul,Asia,67.9,https://www.topuniversities.com/universities/hanyang-university,https://www.topuniversities.com/sites/default/files/hanyang-university_250_medium.jpg,62.9,=230,80.1,=229,87.3,=144,68.8,=233,41.7,401+
204,204,Osaka University,Japan,Osaka City,Asia,67.8,https://www.topuniversities.com/universities/osaka-university,https://www.topuniversities.com/sites/default/files/osaka-university_472_medium.jpg,67.7,=136,62.8,401+,74.8,401+,69.8,=209,46.3,401+
=205,205,King Abdulaziz University (KAU),Saudi Arabia,Jeddah,Asia,67.7,https://www.topuniversities.com/universities/king-abdulaziz-university-kau,https://www.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_medium.jpg,56.3,401+,86.1,=85,90.3,50,67.9,=258,72,=55
=205,206,National Cheng Kung University (NCKU),Taiwan,Tainan City,Asia,67.7,https://www.topuniversities.com/universities/national-cheng-kung-university-ncku,https://www.topuniversities.com/sites/default/files/230407032250am673777NCKU-Alt-GraphicSignature-NL-RGB-AW-90x90.jpg,64.4,=203,77.8,=300,84.9,=313,68,=254,43.8,401+
