rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_faculty_score,citations_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,employer_reputation_score,employer_reputation_rank,employment_outcomes_score,employment_outcomes_rank,international_student_ratio_score,international_student_ratio_rank,international_research_network_score,international_research_network_rank,international_faculty_ratio_score,international_faculty_ratio_rank,international_student_diversity_score,international_student_diversity_rank,sustainability_score_score,sustainability_score_rank
=388,388,Beihang University (former BUAA),China (Mainland),Beijing,Asia,38.5,https://www.topuniversities.com/universities/beihang-university-former-buaa,https://www.topuniversities.com/sites/default/files/beihang-university-former-buaa_870_medium.jpg,91.6,95,18.3,665,57.8,313,23.5,569,20.9,711,8.3,801+,50.1,801+,9.5,801+,6.4,801+,36.7,801+
=388,389,"Birkbeck, University of London",United Kingdom,London,Europe,38.5,https://www.topuniversities.com/universities/birkbeck-university-london,https://www.topuniversities.com/sites/default/files/birkbeck-university-of-london_1636_medium.jpg,79.6,159,15.5,701+,19.1,801+,5.9,701+,17.7,766,98.7,78,60.1,690,98.9,130,98.7,66,45.6,801+
390,390,National and Kapodistrian University of Athens,Greece,Athens,Europe,38.4,https://www.topuniversities.com/universities/national-kapodistrian-university-athens,https://www.topuniversities.com/sites/default/files/national-and-kapodistrian-university-of-athens_33_medium.jpg,45.1,412,34.9,344,3,801+,38.9,354,88.9,115,27.2,624,79.7,358,12.7,801+,32.7,581,64.3,=415
391,391,Abu Dhabi University,United Arab Emirates,Abu Dhabi,Asia,38.3,https://www.topuniversities.com/universities/abu-dhabi-university,https://www.topuniversities.com/sites/default/files/250227042852am570201Logo-ADU-90x90.jpg,35.9,518,24.6,518,23.9,755,49.8,256,10.1,801+,99.9,44,34.5,801+,100,5,99.9,32,49.6,=711
=392,392,Sejong University,South Korea,Seoul,Asia,38.2,https://www.topuniversities.com/universities/sejong-university,https://www.topuniversities.com/sites/default/files/sejong-university_1094_medium.jpg,92.2,92,16.3,701+,16.3,801+,19.4,672,1.8,801+,50.7,407,77.8,388,32.4,558,37.8,516,61.3,=471
=392,393,Southeast University,China (Mainland),Nanjing,Asia,38.2,https://www.topuniversities.com/universities/southeast-university,https://www.topuniversities.com/sites/default/files/southeast-university_568_medium.jpg,93.6,83,21.1,588,24.5,745,20.8,632,9.6,801+,6.1,801+,76.9,407,31.6,569,11.5,801+,45,801+
=392,394,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,Barcelona,Europe,38.2,https://www.topuniversities.com/universities/universitat-politecnica-de-catalunya-barcelonatech-upc,https://www.topuniversities.com/sites/default/files/universitat-politcnica-de-catalunya_103_medium.jpg,27,617,40.8,291,42.5,471,32.8,437,35.7,481,31,578,84,276,16.7,771,36.9,527,77,=214
=395,395,Aston University,United Kingdom,Birmingham,Europe,38.1,https://www.topuniversities.com/universities/aston-university,https://www.topuniversities.com/sites/default/files/250909012709pm723207Untitled-design-90x90.jpg,56.7,309,18.1,673,12,801+,27.1,506,28.3,587,63.4,317,81.8,317,97.9,142,67,290,67.6,=355
=395,396,Ruhr-Universität Bochum,Germany,Bochum,Europe,38.1,https://www.topuniversities.com/universities/ruhr-universitat-bochum,https://www.topuniversities.com/sites/default/files/ruhr-universitt-bochum_537_medium.jpg,65.8,243,29.1,427,3.9,801+,11.8,701+,21.4,701,55.6,376,90,174,59.3,394,59.9,343,72.5,=281
=397,397,Lappeenranta-Lahti University of Technology LUT,Finland,Lappeenranta,Europe,37.7,https://www.topuniversities.com/universities/lappeenranta-lahti-university-technology-lut,https://www.topuniversities.com/sites/default/files/lappeenranta-university-of-technology_592560cf2aeae70239af4f7d_medium.jpg,95.9,63,8.7,701+,11.9,801+,15.7,701+,10.4,801+,58.1,354,54.4,778,70.1,334,62.1,321,72.2,=289
=397,398,University of Kent,United Kingdom,Canterbury,Europe,37.7,https://www.topuniversities.com/universities/university-kent,https://www.topuniversities.com/sites/default/files/university-of-kent_315_medium.jpg,58.3,297,20.2,607,16.2,801+,13.8,701+,44,404,49.2,414,88,202,96.4,163,54,381,65.5,=387
399,399,IPB University (aka Bogor Agricultural University),Indonesia,Bogor,Asia,37.6,https://www.topuniversities.com/universities/ipb-university-aka-bogor-agricultural-university,https://www.topuniversities.com/sites/default/files/bogor-agricultural-university_704_medium.jpg,3,801+,35.1,342,82.9,153,56,213,45.3,386,6,801+,26.2,801+,73.7,323,10.8,801+,63.2,=436
400,400,Western Sydney University,Australia,Milperra,Oceania,37.5,https://www.topuniversities.com/universities/western-sydney-university,https://www.topuniversities.com/sites/default/files/western-sydney-university_848_medium.jpg,44.5,419,26.3,480,7.4,801+,22.5,593,11.8,801+,67.7,292,87.3,211,100,59,70.9,263,82.6,140
=401,401,Umea University,Sweden,Umeå,Europe,37.4,https://www.topuniversities.com/universities/umea-university,https://www.topuniversities.com/sites/default/files/logo_Umu-90x90.jpg,25,639,27.2,461,80.7,165,20.2,652,11.9,801+,37.5,520,76.9,406,77.2,310,28,638,77.1,213
=401,402,University of Granada,Spain,Granada,Europe,37.4,https://www.topuniversities.com/universities/university-granada,https://www.topuniversities.com/sites/default/files/university-of-granada_235_medium.jpg,26.3,622,59.3,178,11.2,801+,24.3,554,13.1,801+,31.7,572,96.4,51,9.9,801+,37.6,522,58.4,=536
=401,403,University of Limerick,Ireland,Limerick,Europe,37.4,https://www.topuniversities.com/universities/university-limerick,https://www.topuniversities.com/sites/default/files/university-of-limerick_592560cf2aeae70239af4be0_medium.jpg,34.5,527,27.9,453,23.6,758,36.6,390,14.7,801+,48.4,417,71.6,506,93.2,198,53.3,385,75.9,=223
=404,404,Sabanci University,Türkiye,Istanbul,Asia,37.2,https://www.topuniversities.com/universities/sabanci-university,https://www.topuniversities.com/sites/default/files/250702100245pm254411Sabanci-University-90x90.jpeg,39.2,483,26.5,477,40,505,62.6,177,12.8,801+,28,614,35.5,801+,51.2,434,30.9,606,50.1,=701
=404,405,University of Florence,Italy,Florence,Europe,37.2,https://www.topuniversities.com/universities/university-florence,https://www.topuniversities.com/sites/default/files/university-of-florence_208_medium.jpg,49.7,376,45.1,262,7,801+,16.9,701+,36.9,468,20.8,713,86.1,234,11.2,801+,26.9,655,72.9,=275
406,406,Institut National des Sciences Appliquées de Lyon (INSA),France,Lyon,Europe,37.1,https://www.topuniversities.com/universities/institut-national-des-sciences-appliquees-de-lyon-insa,https://www.topuniversities.com/sites/default/files/institut-national-des-sciences-appliques-de-lyon-insa_2461_medium.jpg,69,222,9.4,701+,42.7,468,38,367,17.8,764,77.5,237,58.7,711,34.4,542,79.7,208,39.1,801+
407,407,Lincoln University,New Zealand,Lincoln,Oceania,37,https://www.topuniversities.com/universities/lincoln-university,https://www.topuniversities.com/sites/default/files/lincoln-university-_592560cf2aeae70239af4ef3_medium.jpg,62.6,264,13.3,701+,32.4,597,10.7,701+,45.1,389,99.6,53,25.4,801+,100,55,99.1,58,62,=458
408,408,University of Turin,Italy,Turin,Europe,36.9,https://www.topuniversities.com/universities/university-turin,https://www.topuniversities.com/sites/default/files/university-of-turin_632_medium.jpg,42.5,447,48.1,237,5.1,801+,14.3,701+,61.4,257,10.1,801+,90,175,5.2,801+,16,801+,78.7,=188
409,409,Università Cattolica del Sacro Cuore,Italy,Milan,Europe,36.8,https://www.topuniversities.com/universities/universita-cattolica-del-sacro-cuore,https://www.topuniversities.com/sites/default/files/250121113309am654785Logo-Verticale-RGB-150x150-90x90.jpg,40.3,466,33.1,370,28.7,663,43.1,311,42.7,411,13.9,801+,72.4,492,17.1,764,19.9,763,62,=458
=410,410,Auckland University of Technology (AUT),New Zealand,Auckland,Oceania,36.7,https://www.topuniversities.com/universities/auckland-university-technology-aut,https://www.topuniversities.com/sites/default/files/auckland-university-of-technology-aut_592560cf2aeae70239af4ef7_medium.jpg,33.2,549,29.6,417,13.7,801+,22.5,587,23.4,663,100,39,50.4,801+,100,76,100,27,74,=259
=410,411,Dublin City University,Ireland,Dublin,Europe,36.7,https://www.topuniversities.com/universities/dublin-city-university,https://www.topuniversities.com/sites/default/files/251001112050am424289Study-Portals-Logo-QS-90x90.jpg,22,685,29.2,423,27.8,683,37.5,376,40.2,436,43.2,466,78,381,80.8,292,48.4,429,79.7,=175
=410,412,Sunway University,Malaysia,Kuala Lumpur,Asia,36.7,https://www.topuniversities.com/universities/sunway-university,https://www.topuniversities.com/sites/default/files/sunway-university_592560cf2aeae70239af4db8_medium.jpg,25.2,636,20.9,592,56.9,324,53.3,228,5.1,801+,66.9,298,61.4,671,57.1,405,68.7,279,61.2,=474
=410,413,University at Buffalo SUNY,United States,Buffalo,North America,36.7,https://www.topuniversities.com/universities/university-buffalo-suny,https://www.topuniversities.com/sites/default/files/university-at-buffalo-suny_1888_medium.jpg,53,354,26.3,482,10.7,801+,19.1,683,43.7,405,52.5,393,74.1,462,51.5,430,57,358,82.7,=138
=410,414,University of Southern Queensland,Australia,Toowoomba,Oceania,36.7,https://www.topuniversities.com/universities/university-southern-queensland,https://www.topuniversities.com/sites/default/files/220804085539am330175unisq-logo-qs-90x90.jpg,90.1,103,11,701+,7.9,801+,8.2,701+,11,801+,48.7,416,82.2,307,78.5,304,52,398,65.5,=387
415,415,Bilkent University,Türkiye,Ankara,Asia,36.6,https://www.topuniversities.com/universities/bilkent-university,https://www.topuniversities.com/sites/default/files/bilkent-university_58_medium.jpg,27.7,610,33.8,361,14.5,801+,73.3,134,27,609,7.6,801+,40.5,801+,61.6,379,12.1,801+,51.7,=667
=416,416,Czech Technical University in Prague,Czechia,Prague,Europe,36.5,https://www.topuniversities.com/universities/czech-technical-university-prague,https://www.topuniversities.com/sites/default/files/czech-technical-university-in-prague_592560cf2aeae70239af4d3b_medium.jpg,6.2,801+,26.8,468,89.4,107,51.3,243,23.1,670,56,374,69.4,542,28.7,598,60.2,341,53.6,=630
=416,417,Julius-Maximilians-Universität Würzburg,Germany,Würzburg,Europe,36.5,https://www.topuniversities.com/universities/julius-maximilians-universitat-wurzburg,https://www.topuniversities.com/sites/default/files/julius-maximilians-universitt-wrzburg_592560cf2aeae70239af4d2d_medium.jpg,87,115,21.4,579,8.9,801+,9.9,701+,17,783,19.7,731,78.3,379,60.1,389,14.9,801+,50.2,=699
=416,418,Universität Mannheim,Germany,Mannheim,Europe,36.5,https://www.topuniversities.com/universities/universitat-mannheim,https://www.topuniversities.com/sites/default/files/universitt-mannheim_592560cf2aeae70239af4c0b_medium.jpg,42.4,449,20.3,604,4.6,801+,76.3,120,45,390,41.2,481,25.7,801+,55.7,407,46.6,445,51.3,=677
419,419,University of Aveiro,Portugal,Aveiro,Europe,36.4,https://www.topuniversities.com/universities/university-aveiro,https://www.topuniversities.com/sites/default/files/220127095852am750420Logo-web-cores-02-90x90.jpg,94.7,73,18.6,658,13.1,801+,15.5,701+,3.3,801+,24.8,667,85.5,245,5.2,801+,30.9,605,64.7,=405
=420,420,National Taipei University of Technology,Taiwan,Taipei City,Asia,36.3,https://www.topuniversities.com/universities/national-taipei-university-technology,https://www.topuniversities.com/sites/default/files/national-taipei-university-of-technology_1993_medium.jpg,58.8,294,18.2,672,28.6,667,57.6,202,29.2,565,31.7,573,25.6,801+,25.6,639,34.9,552,58.9,=521
=420,421,Université de Strasbourg,France,Strasbourg,Europe,36.3,https://www.topuniversities.com/universities/universite-de-strasbourg,https://www.topuniversities.com/sites/default/files/251128072855am286970Signature-Universite-Strasbourg-carre-90x90.jpg,31.5,570,50.1,224,7.3,801+,16.3,701+,29.8,552,45.4,445,90.7,166,41.7,484,33.9,564,47.3,=780
422,422,Universitat Politecnica de Valencia,Spain,València,Europe,36.2,https://www.topuniversities.com/universities/universitat-politecnica-de-valencia,https://www.topuniversities.com/sites/default/files/universitat-politcnica-de-valncia_648_medium.jpg,31.2,572,38,314,35.3,561,27.6,501,22.4,689,41.5,479,85.8,240,7.7,801+,46.9,443,79.5,=180
=423,423,Murdoch University,Australia,Murdoch,Oceania,36.1,https://www.topuniversities.com/universities/murdoch-university,https://www.topuniversities.com/sites/default/files/220207051606am851054Murdoch-logo-RedBox-200x200-90x90.jpg,73.9,184,13,701+,7.4,801+,8.7,701+,24.9,642,82.5,209,75.1,442,89.6,226,61.4,328,53.4,=632
=423,424,Tampere University,Finland,Tampere,Europe,36.1,https://www.topuniversities.com/universities/tampere-university,https://www.topuniversities.com/sites/default/files/tampere-university_5bbf14847d023f5bc849ec9a_medium.jpg,47.7,392,29.2,424,24.8,737,24.7,543,42.1,417,13.9,801+,84,277,61.6,378,19.6,771,49.2,=729
=423,425,Università degli Studi di Pavia,Italy,Pavia,Europe,36.1,https://www.topuniversities.com/universities/universita-degli-studi-di-pavia,https://www.topuniversities.com/sites/default/files/230511020618pm859808Unipv-Logo-2-90x90.jpg,72.3,196,29.4,420,13.5,801+,12.9,701+,20.4,718,24.6,669,80.4,346,8.4,801+,30.7,607,74.9,=237
=423,426,Washington State University,United States,Pullman,North America,36.1,https://www.topuniversities.com/universities/washington-state-university,https://www.topuniversities.com/sites/default/files/washington-state-university_666_medium.jpg,42.7,444,28.7,434,23.1,771,39.9,345,15.5,801+,9.2,801+,77.9,386,50.7,438,15,801+,78.5,=192
427,427,Graz University of Technology,Austria,Graz,Europe,36,https://www.topuniversities.com/universities/graz-university-technology,https://www.topuniversities.com/sites/default/files/graz-university-of-technology_1239_medium.jpg,18.8,735,21.9,568,99.2,43,22.1,601,15.2,801+,71.3,267,52.3,801+,86.6,248,53.1,388,42.6,801+
=428,428,Aix-Marseille University,France,Marseille,Europe,35.9,https://www.topuniversities.com/universities/aix-marseille-university,https://www.topuniversities.com/sites/default/files/aix-marseille-university_592560cf2aeae70239af51e1_medium.jpg,29.7,591,51,218,11,801+,15.9,701+,29,571,29,604,99,15,22.8,678,21.7,734,63.2,=436
=428,429,University of Dundee.,United Kingdom,Dundee,Europe,35.9,https://www.topuniversities.com/universities/university-dundee,https://www.topuniversities.com/sites/default/files/241024102555am216937UoD-shield-RGB-90x90.jpg,20.6,704,25.5,497,44.8,438,21.3,618,13.9,801+,84.4,198,78.7,374,92,209,85.8,169,78.6,=190
=430,430,Masaryk University,Czechia,Brno,Europe,35.7,https://www.topuniversities.com/universities/masaryk-university,https://www.topuniversities.com/sites/default/files/masaryk-university_592560cf2aeae70239af4d5a_medium.jpg,18.8,738,32.3,383,13.1,801+,37.3,377,58.8,278,76.8,245,79.8,355,34.5,541,79,217,77,=214
=430,431,Universitat de Valencia,Spain,València,Europe,35.7,https://www.topuniversities.com/universities/universitat-de-valencia,https://www.topuniversities.com/sites/default/files/universitat-de-valencia_647_medium.jpg,31,575,49.7,227,17.3,801+,17.2,701+,16.5,797,39.4,497,91.4,151,2.7,801+,44.8,465,74.1,=255
=430,432,Université de Montpellier,France,Montpellier,Europe,35.7,https://www.topuniversities.com/universities/universite-de-montpellier,https://www.topuniversities.com/sites/default/files/universit-de-montpellier_592560e69988f300e2321d99_medium.jpg,72.3,195,26.7,471,11.7,801+,4.9,701+,18.8,745,42.8,468,99.4,10,29,594,48,433,55.3,=596
=433,433,East China Normal University,China (Mainland),Shanghai,Asia,35.6,https://www.topuniversities.com/universities/east-china-normal-university,https://www.topuniversities.com/sites/default/files/east-china-normal-university_592560cf2aeae70239af4def_medium.jpg,82.1,145,19.9,619,20.2,801+,16.4,701+,14.5,801+,15.7,801+,69.2,544,46.7,457,11.9,801+,47.7,=765
=433,434,Leibniz University Hannover,Germany,Hanover,Europe,35.6,https://www.topuniversities.com/universities/leibniz-university-hannover,https://www.topuniversities.com/sites/default/files/leibniz-universitt-hannover_249_medium.jpg,33.7,540,29.6,419,19.9,801+,37.2,378,20.3,720,33.3,556,80.5,345,54.7,413,39.1,507,78.7,=188
435,435,National Taiwan Normal University (NTNU),Taiwan,Taipei City,Asia,35.4,https://www.topuniversities.com/universities/national-taiwan-normal-university-ntnu,https://www.topuniversities.com/sites/default/files/national-taiwan-normal-university_440_medium.jpg,9.6,801+,47.8,240,68.3,243,28.2,493,29,573,39.6,495,24.1,801+,19.7,717,42.6,486,68.2,=346
=436,436,Prince Mohammad Bin Fahd university,Saudi Arabia,Al Khobar,Asia,35.2,https://www.topuniversities.com/universities/prince-mohammad-bin-fahd-university,https://www.topuniversities.com/sites/default/files/prince-mohammad-bin-fahd-university_592560df9988f300e2320a8a_medium.jpg,54.7,331,22.5,558,33.1,588,33.6,427,3.3,801+,29.6,593,32.3,801+,100,13,22.2,726,37.4,801+
=436,437,Universitat Ramon Llull,Spain,Barcelona,Europe,35.2,https://www.topuniversities.com/universities/universitat-ramon-llull,https://www.topuniversities.com/sites/default/files/RL-logo-90x90.jpg,15.5,797,17.5,701+,10.3,801+,72.5,136,81.2,152,68,290,31.3,801+,80.4,295,71.1,261,56.7,=562
438,438,IE University,Spain,Segovia,Europe,35.1,https://www.topuniversities.com/universities/ie-university,https://www.topuniversities.com/sites/default/files/230302024505pm732571IE-univ-logo-200x200-90x90.jpg,3.8,801+,12.7,701+,47.6,409,70.4,144,70.4,206,100,3,6.4,801+,94,194,100,1,53,=646
439,439,National Sun Yat-sen University,Taiwan,Kaohsiung City,Asia,35,https://www.topuniversities.com/universities/national-sun-yat-sen-university,https://www.topuniversities.com/sites/default/files/national-sun-yat-sen-university_439_medium.jpg,38,492,36.8,326,35.6,558,32.1,447,14.7,801+,16.5,788,46.4,801+,35.5,534,22.2,728,67,362
=440,440,Ajman University,United Arab Emirates,Ajman,Asia,34.9,https://www.topuniversities.com/universities/ajman-university,https://www.topuniversities.com/sites/default/files/ajman-university-of-science-technology_592560cf2aeae70239af4f31_medium.jpg,10.2,801+,27.8,454,15.7,801+,51.3,241,12.8,801+,100,4,65.2,621,100,8,99.7,37,46.2,801+
=440,441,HSE University,Russia,Moscow,Europe,34.9,https://www.topuniversities.com/universities/hse-university,https://www.topuniversities.com/sites/default/files/220303011024pm152717HSE-logo-90x90.jpg,2.7,801+,28.1,449,92,96,52.9,231,19.4,737,24,675,84.7,261,10.2,801+,30.1,614,57.6,549
=440,442,James Cook University,Australia,Townsville,Oceania,34.9,https://www.topuniversities.com/universities/james-cook-university,https://www.topuniversities.com/sites/default/files/220112080628am351672jcu-90x90.jpg,60.3,286,21,591,27.5,689,11,701+,11.2,801+,37.6,518,83.8,279,46.9,454,43.2,480,81.9,=151
=440,443,Macau University of Science and Technology,Macau SAR,,Asia,34.9,https://www.topuniversities.com/universities/macau-university-science-technology,https://www.topuniversities.com/sites/default/files/macau-university-of-science-and-technology_592560cf2aeae70239af5a46_medium.jpg,79.5,161,7.4,701+,4.8,801+,10.9,701+,36.8,472,100,1,23.9,801+,100,18,87.9,157,52,=663
=440,444,"University of California, Riverside",United States,Riverside,North America,34.9,https://www.topuniversities.com/universities/university-california-riverside,https://www.topuniversities.com/sites/default/files/230328051801pm377649UCR-200x200-90x90.jpg,64.2,254,21.4,577,10,801+,21.1,623,7,801+,30.4,587,75.4,433,80.9,290,36.3,530,55.6,=589
=440,445,Universität Konstanz,Germany,Konstanz,Europe,34.9,https://www.topuniversities.com/universities/universitat-konstanz,https://www.topuniversities.com/sites/default/files/universitt-konstanz_323_medium.jpg,33.4,544,25.5,499,50.3,380,18.7,692,23,673,26.8,634,63.7,640,91.5,213,32.8,577,69.9,=316
446,446,Vilnius University,Lithuania,Vilnius,Europe,34.8,https://www.topuniversities.com/universities/vilnius-university,https://www.topuniversities.com/sites/default/files/vilnius-university-_592560cf2aeae70239af4d7f_medium.jpg,6.2,801+,26.9,467,73.1,210,28,496,91.3,93,28.5,609,80.2,351,28.4,601,34.5,557,70.3,=313
447,447,Belarusian State University,Belarus,Minsk,Europe,34.6,https://www.topuniversities.com/universities/belarusian-state-university,https://www.topuniversities.com/sites/default/files/belarusian-state-university_14128_medium.jpg,1.7,801+,32.5,377,91.8,98,51.5,239,61.3,258,71.1,268,34.4,801+,4.9,801+,67.5,286,n/a,n/a
448,448,University of Bayreuth,Germany,Bayreuth,Europe,34.5,https://www.topuniversities.com/universities/university-bayreuth,https://www.topuniversities.com/sites/default/files/university-of-bayreuth_592560cf2aeae70239af4ab4_medium.jpg,39.2,481,14.1,701+,64.6,272,22.3,596,16.2,801+,39.7,494,82.3,306,63.6,365,45.1,462,69.9,=316
449,449,Iowa State University,United States,Ames,North America,34.4,https://www.topuniversities.com/universities/iowa-state-university,https://www.topuniversities.com/sites/default/files/iowa-state-university_294_medium.jpg,61,281,26.4,479,10.8,801+,21.6,611,50.6,339,17.8,764,78.9,370,6.7,801+,24,703,65,=398
=450,450,Kazan (Volga region) Federal University,Russia,Kazan,Europe,34.3,https://www.topuniversities.com/universities/kazan-volga-region-federal-university,https://www.topuniversities.com/sites/default/files/kazan-volga-region-federal-university_313_medium.jpg,3.8,801+,27.2,460,98.1,54,19.5,669,19.6,732,97.7,94,86.7,225,14,801+,97.8,83,55.3,=596
=450,451,UNESP,Brazil,Sao Paulo,Latin America,34.3,https://www.topuniversities.com/universities/unesp,https://www.topuniversities.com/sites/default/files/unesp_492_medium.jpg,22.2,683,53.3,207,20.1,801+,36.8,387,1.6,801+,5.3,801+,73.6,480,7.4,801+,10.1,801+,58.5,=534
=452,452,Johannes Gutenberg Universität Mainz,Germany,Mainz,Europe,34.2,https://www.topuniversities.com/universities/johannes-gutenberg-universitat-mainz,https://www.topuniversities.com/sites/default/files/johannes-gutenberg-universitt-mainz_382_medium.jpg,18.1,750,32.5,378,70.5,225,19.8,667,18.1,756,26.4,641,87.5,209,51.3,433,32.4,584,52.2,=658
=452,453,Shenzhen University,China (Mainland),Shenzhen,Asia,34.2,https://www.topuniversities.com/universities/shenzhen-university,https://www.topuniversities.com/sites/default/files/shenzhen-university_24794_medium.jpg,90.9,100,11.9,701+,40.1,501,8.7,701+,26,623,2.7,801+,69,547,15.9,780,7.5,801+,48.2,=751
=452,454,"Stony Brook University, State University of New York",United States,Stony Brook,North America,34.2,https://www.topuniversities.com/universities/stony-brook-university-state-university-new-york,https://www.topuniversities.com/sites/default/files/stony-brook-university-state-university-of-new-york_592560cf2aeae70239af4ccb_medium.jpg,32.4,556,24.2,527,43.6,459,17.8,701+,31.9,527,53.4,384,73.7,474,47.4,451,57.9,352,82.5,=141
=452,455,University of Cyprus (UCY),Cyprus,Nicosia,Europe,34.2,https://www.topuniversities.com/universities/university-cyprus-ucy,https://www.topuniversities.com/sites/default/files/university-of-cyprus-ucy_14238_medium.jpg,62.3,270,14.6,701+,10.3,801+,10.8,701+,54.6,306,42.2,471,69.8,534,94.3,187,46.1,452,52.9,650
=456,456,Amirkabir University of Technology,Iran,Tehran,Asia,34.1,https://www.topuniversities.com/universities/amirkabir-university-technology,https://www.topuniversities.com/sites/default/files/amirkabir-university-of-technology_592560cf2aeae70239af4e54_medium.jpg,100,9,8.5,701+,7.4,801+,26.7,513,5.4,801+,5.7,801+,67.2,583,41.7,485,4.5,801+,35.5,801+
=456,457,"Essex, University of",United Kingdom,Colchester,Europe,34.1,https://www.topuniversities.com/universities/essex-university,https://www.topuniversities.com/sites/default/files/university-of-essex_592560cf2aeae70239af4b4c_medium.jpg,35.1,525,23.7,535,17.1,801+,9.9,701+,24.7,645,99.2,64,77,404,99.9,102,99.2,53,54.5,=610
=458,458,Colorado State University,United States,Fort Collins,North America,34,https://www.topuniversities.com/universities/colorado-state-university,https://www.topuniversities.com/sites/default/files/250211033205pm683792CSU-Symbol-r-357-RGB-90x90.jpg,22.8,672,25.2,508,73.1,209,30.1,473,32.3,524,9,801+,82.5,303,22.7,679,14.7,801+,75,236
=458,459,Universidad Nacional de La Plata (UNLP),Argentina,La Plata,Latin America,34,https://www.topuniversities.com/universities/universidad-nacional-de-la-plata-unlp,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-la-plata-unlp_1690_medium.jpg,2.9,801+,55.7,199,40.8,496,30.8,464,37.7,463,41.6,478,54.1,780,7.2,801+,31.1,601,39.4,801+
=458,460,"University of California, Santa Cruz",United States,Santa Cruz,North America,34,https://www.topuniversities.com/universities/university-california-santa-cruz,https://www.topuniversities.com/sites/default/files/university-of-california-santa-cruz_92_medium.jpg,62.4,268,24.7,517,10,801+,13.6,701+,14.3,801+,10,801+,62.2,662,71.4,331,15.7,801+,84.3,122
=461,461,Jordan University of Science & Technology,Jordan,Irbid,Asia,33.9,https://www.topuniversities.com/universities/jordan-university-science-technology,https://www.topuniversities.com/sites/default/files/241024094456am374600Colored-logo-JPEG-90x90.jpg,12.3,801+,32,386,23.1,774,47.8,273,5.8,801+,87.9,183,54.6,775,66.7,350,83.8,180,52.1,=661
=461,462,Novosibirsk State University,Russia,Novosibirsk ,Europe,33.9,https://www.topuniversities.com/universities/novosibirsk-state-university,https://www.topuniversities.com/sites/default/files/novosibirsk-state-university_462_medium.jpg,13,801+,28.8,432,93.6,87,31.1,460,13.3,801+,70.6,272,55.7,758,9.1,801+,69.5,274,43.8,801+
=461,463,"Royal Holloway, University of London",United Kingdom,London,Europe,33.9,https://www.topuniversities.com/universities/royal-holloway-university-london,https://www.topuniversities.com/sites/default/files/250117013204pm929619Royal-Holloway%2C-University-of-London-RGB-200x200-pixel-logo-90x90.jpg,41,460,22.8,548,15.1,801+,11.8,701+,12.3,801+,88.9,177,73,487,96.3,164,89.9,151,61.7,=464
=461,464,Università Vita-Salute San Raffaele,Italy,Milan,Europe,33.9,https://www.topuniversities.com/universities/universita-vita-salute-san-raffaele,https://www.topuniversities.com/sites/default/files/universit-vita-salute-san-raffaele_592560cf2aeae70239af5016_medium.jpg,99.5,28,4.8,701+,89.3,108,3.1,701+,4.1,801+,11.3,801+,35.5,801+,6.2,801+,16.3,801+,26.1,801+
=465,465,Anna University,India,Chennai,Asia,33.8,https://www.topuniversities.com/universities/anna-university,https://www.topuniversities.com/sites/default/files/anna-university_592560cf2aeae70239af4e05_medium.jpg,99.8,23,15,701+,9.2,801+,19.4,674,17.8,763,1.6,801+,47.3,801+,n/a,n/a,6,801+,64.5,=409
=465,466,Concordia University,Canada,Montreal,North America,33.8,https://www.topuniversities.com/universities/concordia-university,https://www.topuniversities.com/sites/default/files/concordia-university_592560cf2aeae70239af4b0e_medium.jpg,32,563,21.7,572,5.2,801+,18,701+,58.4,281,94.4,135,75.6,429,64,362,94.8,112,81.8,153
=465,467,Shanghai University,China (Mainland),Shanghai,Asia,33.8,https://www.topuniversities.com/universities/shanghai-university,https://www.topuniversities.com/sites/default/files/shanghai-university_557_medium.jpg,48.5,385,29.8,410,51.1,369,21.4,615,12.5,801+,10.2,801+,62.5,657,29.6,589,7.8,801+,42.9,801+
=465,468,University of Kansas,United States,Lawrence,North America,33.8,https://www.topuniversities.com/universities/university-kansas,https://www.topuniversities.com/sites/default/files/university-of-kansas_309_medium.jpg,13.6,801+,17.6,697,91.9,97,22.8,582,42.8,409,12.6,801+,87.5,210,79,301,18.6,786,62.2,=454
=469,469,Ben-Gurion University of The Negev,Israel,Be'er Sheva,Asia,33.7,https://www.topuniversities.com/universities/ben-gurion-university-negev,https://www.topuniversities.com/sites/default/files/ben-gurion-university-of-the-negev_592560cf2aeae70239af4ab7_medium.jpg,58.7,295,19.5,631,15,801+,26.9,510,24.5,649,23.8,679,63.4,643,71.2,332,17.9,798,48.8,=734
=469,470,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research University,Uzbekistan,Tashkent,Asia,33.7,https://www.topuniversities.com/universities/tashkent-institute-irrigation-agricultural-mechanization-engineers-tiiame-national-research,https://www.topuniversities.com/sites/default/files/tashkent-institute-of-irrigation-and-agricultural-mechanization-engineers-tiiame_592560e59988f300e2321bd1_medium.jpg,4.2,801+,35.6,341,87.1,120,46,292,24.8,644,16.7,785,18.6,801+,44.3,470,18.5,787,46.9,=793
