rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_faculty_score,citations_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,employer_reputation_score,employer_reputation_rank,employment_outcomes_score,employment_outcomes_rank,international_student_ratio_score,international_student_ratio_rank,international_research_network_score,international_research_network_rank,international_faculty_ratio_score,international_faculty_ratio_rank,international_student_diversity_score,international_student_diversity_rank,sustainability_score_score,sustainability_score_rank
901-950,950,Università degli studi Roma Tre,Italy,Rome,Europe,n/a,https://www.topuniversities.com/universities/universita-degli-studi-roma-tre,https://www.topuniversities.com/sites/default/files/universit-degli-studi-roma-tre_15002_medium.jpg,15.5,796,24.7,515,3.3,801+,14.6,701+,11,801+,7.8,801+,66.7,594,8.8,801+,6,801+,56.2,=576
901-950,951,Université de Sherbrooke,Canada,Sherbrooke,North America,n/a,https://www.topuniversities.com/universities/universite-de-sherbrooke,https://www.topuniversities.com/sites/default/files/universit-de-sherbrooke_592560cf2aeae70239af5161_medium.jpg,24.2,651,8.2,701+,24.2,749,4.4,701+,31.8,530,13.9,801+,55,771,62.6,372,10.5,801+,48.5,=743
901-950,952,Virginia Commonwealth University,United States,Richmond,North America,n/a,https://www.topuniversities.com/universities/virginia-commonwealth-university,https://www.topuniversities.com/sites/default/files/virginia-commonwealth-university_654_medium.jpg,20,712,9.5,701+,42.8,464,9.9,701+,18.3,753,6,801+,68.8,550,12.6,801+,11.5,801+,48.4,=746
901-950,953,Yeungnam University ,South Korea,Gyeongsan,Asia,n/a,https://www.topuniversities.com/universities/yeungnam-university,https://www.topuniversities.com/sites/default/files/yeungnam-university-_592560cf2aeae70239af4ee0_medium.jpg,47.5,395,5.1,701+,18.9,801+,4.7,701+,4.9,801+,17.8,763,46.7,801+,38.6,511,23.3,716,33.5,801+
951-1000,954,Al Nahrain University,Iraq,Baghdad,Asia,n/a,https://www.topuniversities.com/universities/al-nahrain-university,https://www.topuniversities.com/sites/default/files/210630065320am779638logo-nahrainuniv-edu-iq-%D8%B4%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%86%D9%87%D8%B1%D9%8A%D9%86-90x90.jpg,3.7,801+,8.2,701+,98.9,45,24.1,559,10.1,801+,1,801+,15.6,801+,2.5,801+,5.5,801+,29.4,801+
951-1000,955,Al-Quds University,Palestinian Territories,East Jerusalem,Asia,n/a,https://www.topuniversities.com/universities/al-quds-university,https://www.topuniversities.com/sites/default/files/al-quds-university-the-arab-university-in-jerusalem_592560cf2aeae70239af5474_medium.jpg,2.8,801+,10.1,701+,19.4,801+,20.5,644,12.3,801+,90.5,163,15,801+,72.3,327,76.3,229,40.1,801+
951-1000,956,Amity University,India,Noida,Asia,n/a,https://www.topuniversities.com/universities/amity-university,https://www.topuniversities.com/sites/default/files/amity-university_592560cf2aeae70239af563b_medium.jpg,14.9,801+,10.5,701+,18.2,801+,18.3,700,4.9,801+,34.9,540,67.5,578,12.1,801+,36.3,531,54.7,=608
951-1000,957,Athens University of Economics and Business,Greece,Athens,Europe,n/a,https://www.topuniversities.com/universities/athens-university-economics-business,https://www.topuniversities.com/sites/default/files/220228075444am741134AUEBLogo-90x90.jpg,31.9,565,10.1,701+,2.1,801+,37.2,380,33.9,501,6.6,801+,14.8,801+,1.9,801+,11,801+,39.8,801+
951-1000,958,CY Cergy Paris University,France,Paris,Europe,n/a,https://www.topuniversities.com/universities/cy-cergy-paris-university,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-2021-05-14T142106.589-90x90.jpg,7.4,801+,5.2,701+,64.9,270,5.2,701+,1.3,801+,59,347,47.9,801+,55.1,410,62.9,314,31.4,801+
951-1000,959,Charles Sturt University,Australia,Bathurst,Oceania,n/a,https://www.topuniversities.com/universities/charles-sturt-university,https://www.topuniversities.com/sites/default/files/charles-sturt-university-_592560cf2aeae70239af4dcc_medium.jpg,13.9,801+,6.4,701+,14.1,801+,9.4,701+,13.4,801+,47.2,427,60.4,684,66,356,52.2,396,64.9,=403
951-1000,960,Clarkson University,United States,Potsdam,North America,n/a,https://www.topuniversities.com/universities/clarkson-university,https://www.topuniversities.com/sites/default/files/clarkson-university_592560cf2aeae70239af5181_medium.jpg,47.3,400,1,701+,19,801+,4,701+,12.2,801+,38,515,31,801+,42.9,478,42.1,493,26.9,801+
