rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url,street_address,locality,region,postal_code,country_address
=68,68,Institut Polytechnique de Paris,France,71.6,71.8,62.4,70.9,99.1,95.1,https://www.timeshighereducation.com/world-university-rankings/institut-polytechnique-de-paris,Route de Saclay,Palaiseau,Ile de France,91120,France
=68,68,Université Paris-Saclay,France,71.6,67.9,62.2,80.6,92.4,76.0,https://www.timeshighereducation.com/world-university-rankings/universite-paris-saclay,3 Rue Joliot Curie Breguet Building,Gif sur Yvette,Ile de France,91190,France
=70,70,Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,66.7,67.5,82.4,100.0,44.2,https://www.timeshighereducation.com/world-university-rankings/korea-advanced-institute-science-and-technology-kaist,291 Daehak-ro Yuseong-gu,Daejeon,South Chungcheong,34141,South Korea
=70,70,Leiden University,Netherlands,71.3,49.3,63.3,93.6,99.1,85.2,https://www.timeshighereducation.com/world-university-rankings/leiden-university,PO Box 9500,Leiden,,2300,Netherlands
72,72,"University of California, Santa Barbara",United States,71.2,50.3,63.2,94.5,92.7,80.2,https://www.timeshighereducation.com/world-university-rankings/university-california-santa-barbara,552 University Road,Santa Barbara,California,93106–5160,United States
=73,73,Australian National University,Australia,71.1,56.7,62.6,85.7,86.3,94.2,https://www.timeshighereducation.com/world-university-rankings/australian-national-university,East Road,Canberra,Australian Capital Territory,2600,Australia
73,73,City University of Hong Kong,Hong Kong,71.1,56.5,52.7,92.7,100.0,98.4,https://www.timeshighereducation.com/world-university-rankings/city-university-hong-kong,Tat Chee Avenue,Kowloon,Kowloon,999077,Hong Kong
=73,73,University of Southern California,United States,71.1,59.8,59.6,92.7,74.9,71.5,https://www.timeshighereducation.com/world-university-rankings/university-southern-california,3551 Trousdale Parkway,Los Angeles,California,90089,United States
=76,76,Boston University,United States,70.4,61.2,56.5,91.8,72.4,73.2,https://www.timeshighereducation.com/world-university-rankings/boston-university,One Silber Way,Boston,Massachusetts,02215,United States
=76,76,Sorbonne University,France,70.4,67.6,59.2,81.6,73.1,78.4,https://www.timeshighereducation.com/world-university-rankings/sorbonne-university,21 Rue de lEcole de Medecine,Paris,Ile de France,75006,France
78,78,University of North Carolina at Chapel Hill,United States,70.3,63.8,59.6,91.3,75.9,49.9,https://www.timeshighereducation.com/world-university-rankings/university-north-carolina-chapel-hill,174 Country Club Road,Chapel Hill,North Carolina,27599,United States
79,79,UNSW Sydney,Australia,70.0,50.2,57.7,91.9,96.7,93.7,https://www.timeshighereducation.com/world-university-rankings/unsw-sydney,"['High Street', 'Kensington']",Sydney,New South Wales,2052,Australia
80,80,The Hong Kong Polytechnic University,Hong Kong,69.7,51.9,55.4,91.8,86.5,97.3,https://www.timeshighereducation.com/world-university-rankings/hong-kong-polytechnic-university,11 Yuk Choi Road,Hung Hom,Kowloon,,Hong Kong
=80,80,The University of Queensland,Australia,69.7,50.9,60.9,87.6,97.6,91.2,https://www.timeshighereducation.com/world-university-rankings/university-queensland,280-284 Sir Fred Schonell Dr,Saint Lucia,Queensland,4067,Australia
=80,80,University of Bristol,United Kingdom,69.7,51.4,56.5,94.4,74.6,91.8,https://www.timeshighereducation.com/world-university-rankings/university-bristol,Queens Road Beacon House,Bristol,Bristol,BS8 1QU,United Kingdom
82,82,University of Groningen,Netherlands,69.3,47.4,55.9,94.1,99.7,91.7,https://www.timeshighereducation.com/world-university-rankings/university-groningen,Broerstraat 5,Groningen,Groningen Province,9712,Netherlands
84,84,University of Glasgow,United Kingdom,68.9,50.6,52.2,95.9,73.2,95.5,https://www.timeshighereducation.com/world-university-rankings/university-glasgow,University Avenue,Glasgow City,Glasgow,G12 8QQ,United Kingdom
85,85,Purdue University West Lafayette,United States,68.8,62.1,66.3,73.8,86.3,75.2,https://www.timeshighereducation.com/world-university-rankings/purdue-university-west-lafayette,610 Purdue Mall,West Lafayette,Indiana,47907,United States
86,86,Yonsei University (Seoul campus),South Korea,68.5,58.7,57.4,87.8,100.0,55.7,https://www.timeshighereducation.com/world-university-rankings/yonsei-university-seoul-campus,50 Yonsei-ro Seodaemun,Seoul,Gyeonggi Province,03722,South Korea
87,87,Sungkyunkwan University (SKKU),South Korea,68.3,60.2,57.5,83.4,99.7,64.3,https://www.timeshighereducation.com/world-university-rankings/sungkyunkwan-university-skku,25-2 Sungkyunkwan-Ro,Jongno-gu,11,561-758,South Korea
88,88,University of Minnesota,United States,67.5,60.3,59.0,84.1,99.9,44.7,https://www.timeshighereducation.com/world-university-rankings/university-minnesota,3 Morrill Hall 100 Church Street South East,Minneapolis,Minnesota,55455,United States
89,89,Humboldt University of Berlin,Germany,67.2,52.6,60.6,85.5,65.9,77.6,https://www.timeshighereducation.com/world-university-rankings/humboldt-university-berlin,Unter den Linden 6,Berlin,Berlin,10099,Germany
90,90,University of Copenhagen,Denmark,67.1,51.3,52.2,91.3,92.8,76.6,https://www.timeshighereducation.com/world-university-rankings/university-copenhagen,Norregade 10 PO Box 2177,Copenhagen,Copenhagen,1017,Denmark
91,91,Charité - Universitätsmedizin Berlin,Germany,66.9,47.2,48.7,98.2,100.0,72.4,https://www.timeshighereducation.com/world-university-rankings/charite-universitatsmedizin-berlin,Chariteplatz 1,Berlin,Berlin,10117,Germany
=92,92,RWTH Aachen University,Germany,66.7,54.9,63.0,76.7,100.0,70.3,https://www.timeshighereducation.com/world-university-rankings/rwth-aachen-university,Templergraben 55,Aachen,North Rhine Westphalia,52056,Germany
=92,92,University of Bonn,Germany,66.7,51.5,56.6,88.5,78.7,71.8,https://www.timeshighereducation.com/world-university-rankings/university-bonn,Regina Pacis Weg 3,,D-53012 Bonn,,Germany
=92,92,Vanderbilt University,United States,66.7,53.8,48.1,95.6,91.9,60.8,https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university,2201 West End Avenue,Nashville,Tennessee,37240,United States
=95,95,Lund University,Sweden,66.6,49.1,56.7,85.7,99.7,79.2,https://www.timeshighereducation.com/world-university-rankings/lund-university,P.O. Box 117,Lund,Skane Province,221 00,Sweden
=95,95,University of Vienna,Austria,66.6,50.0,60.9,79.8,80.0,94.0,https://www.timeshighereducation.com/world-university-rankings/university-vienna,Universitatsring 1,Vienna,Vienna,1010,Austria
97,97,"University of California, Irvine",United States,66.4,47.8,52.8,91.2,98.4,76.3,https://www.timeshighereducation.com/world-university-rankings/university-california-irvine,Irvine,Irvine,California,92697,United States
=98,98,KTH Royal Institute of Technology,Sweden,66.3,51.1,57.3,79.7,97.2,90.5,https://www.timeshighereducation.com/world-university-rankings/kth-royal-institute-technology,Brinellvagen 8,Stockholm,,100 44,Sweden
