rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url,street_address,locality,region,postal_code,country_address
43,43,University of Minnesota,United States,67.5,61.6,72.9,72.2,80.2,49.9,https://www.timeshighereducation.com/world-university-rankings/university-minnesota,3 Morrill Hall 100 Church Street South East,Minneapolis,Minnesota,55455,United States
44,44,University of Washington,United States,67.4,61.8,63.0,75.1,67.2,80.4,https://www.timeshighereducation.com/world-university-rankings/university-washington,1410 Northeast Campus Parkway,Seattle,Washington,98195,United States
45,45,"University of California, San Diego",United States,66.5,58.6,56.4,80.8,100.0,74.3,https://www.timeshighereducation.com/world-university-rankings/university-california-san-diego,9500 Gilman Dr,La Jolla,California,92093,United States
46,46,Boston University,United States,65.9,57.7,57.5,82.1,61.2,80.7,https://www.timeshighereducation.com/world-university-rankings/boston-university,One Silber Way,Boston,Massachusetts,02215,United States
=47,47,Michigan State University,United States,65.6,54.5,66.8,75.5,74.5,67.4,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university,426 Auditorium Road,East Lansing,Michigan,48824,United States
=47,47,Tilburg University,Netherlands,65.6,53.3,66.4,68.2,99.2,82.8,https://www.timeshighereducation.com/world-university-rankings/tilburg-university,Warandelaan 2,,AB Tilburg,5037,Netherlands
=47,47,University of Southern California,United States,65.6,54.5,61.1,81.1,69.2,74.8,https://www.timeshighereducation.com/world-university-rankings/university-southern-california,3551 Trousdale Parkway,Los Angeles,California,90089,United States
50,50,University of Texas at Austin,United States,65.4,60.7,64.9,76.0,79.0,47.4,https://www.timeshighereducation.com/world-university-rankings/university-texas-austin,110 Inner Campus Drive,Austin,Texas,78705,United States
51,51,Dartmouth College,United States,64.7,71.2,38.6,89.4,68.2,64.6,https://www.timeshighereducation.com/world-university-rankings/dartmouth-college,Hanover,Hanover,New Hampshire,03755,United States
52,52,The University of Sydney,Australia,63.8,57.3,54.7,71.6,80.4,89.2,https://www.timeshighereducation.com/world-university-rankings/university-sydney,Sydney,Sydney,New South Wales,2006,Australia
=53,53,KU Leuven,Belgium,63.6,49.7,63.0,71.3,100.0,75.4,https://www.timeshighereducation.com/world-university-rankings/ku-leuven,Oude Markt 13,Leuven,Flemish Region,3000,Belgium
=53,53,University of Wisconsin-Madison,United States,63.6,58.5,68.8,63.4,69.5,60.5,https://www.timeshighereducation.com/world-university-rankings/university-wisconsin-madison,1308 West Dayton Street Union South,Madison,Wisconsin,53715-1149,United States
55,55,"University of California, Davis",United States,63.5,53.1,56.5,76.2,70.5,84.3,https://www.timeshighereducation.com/world-university-rankings/university-california-davis,One Shields Avenue,Davis,California,95616,United States
56,56,The University of Queensland,Australia,63.1,40.6,57.9,83.3,79.6,93.4,https://www.timeshighereducation.com/world-university-rankings/university-queensland,280-284 Sir Fred Schonell Dr,Saint Lucia,Queensland,4067,Australia
57,57,Korea University,South Korea,62.7,59.0,56.2,62.5,99.9,82.2,https://www.timeshighereducation.com/world-university-rankings/korea-university,145 Anam-ro,Seongbuk-gu,11,02841,South Korea
58,58,Monash University,Australia,62.5,49.2,56.6,73.6,72.6,93.5,https://www.timeshighereducation.com/world-university-rankings/monash-university,Wellington Road,Clayton,Victoria,3800,Australia
59,59,University of Toulouse,France,62.1,48.2,59.4,72.2,83.5,81.2,https://www.timeshighereducation.com/world-university-rankings/university-toulouse,41 Allees Jules Guesde,Toulouse,Occitanie,31013,France
60,60,University of Edinburgh,United Kingdom,61.9,52.1,48.9,77.6,68.8,94.3,https://www.timeshighereducation.com/world-university-rankings/university-edinburgh,"['Old College', 'South Bridge']",Edinburgh,Scotland,EH8 9YL,United Kingdom
61,61,Texas A&M University,United States,61.7,50.5,61.1,71.7,94.1,59.9,https://www.timeshighereducation.com/world-university-rankings/texas-am-university,401 Joe Routt Boulevard Rudder Tower,College Station,Texas,77843-1372,United States
62,62,University of Illinois at Urbana-Champaign,United States,61.6,52.3,56.2,76.5,68.4,67.2,https://www.timeshighereducation.com/world-university-rankings/university-illinois-urbana-champaign,901 West Illinois Street,Urbana,Illinois,61801,United States
63,63,King’s College London,United Kingdom,61.5,51.1,52.3,74.9,59.5,93.3,https://www.timeshighereducation.com/world-university-rankings/kings-college-london,Strand,London,Borough of Westminster,WC2R 2LS,United Kingdom
64,64,University of Virginia (Main campus),United States,61.1,60.4,37.3,88.7,70.6,66.6,https://www.timeshighereducation.com/world-university-rankings/university-virginia-main-campus,400 Ray C Hunt Drive PO Box 400229,Charlottesville,Virginia,22904-4229,United States
65,65,Aalto University,Finland,60.7,45.7,52.4,80.8,91.9,70.4,https://www.timeshighereducation.com/world-university-rankings/aalto-university,PO Box 11000,Espoo,Uusimaa,00076,Finland
=66,66,Johns Hopkins University,United States,60.4,53.9,53.7,64.8,71.4,89.3,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university,3400 North Charles Street,Baltimore,Maryland,21218,United States
=66,66,University of St Gallen,Switzerland,60.4,54.7,38.9,79.8,84.1,90.9,https://www.timeshighereducation.com/world-university-rankings/university-st-gallen,Dufourstrasse 50,Saint Gallen,Canton of Saint Gallen,9000,Switzerland
68,68,Seoul National University,South Korea,60.2,62.6,63.7,51.6,100.0,46.0,https://www.timeshighereducation.com/world-university-rankings/seoul-national-university,1 Gwanak-ro Gwanak-gu,Seoul,Gyeonggi province,08826,South Korea
69,69,University of Groningen,Netherlands,59.7,36.0,54.7,81.2,88.2,84.8,https://www.timeshighereducation.com/world-university-rankings/university-groningen,Broerstraat 5,Groningen,Groningen Province,9712,Netherlands
=70,70,Australian National University,Australia,59.5,49.1,51.0,68.9,69.8,93.7,https://www.timeshighereducation.com/world-university-rankings/australian-national-university,East Road,Canberra,Australian Capital Territory,2600,Australia
=70,70,"University of Maryland, College Park",United States,59.5,48.4,58.6,74.4,67.6,54.8,https://www.timeshighereducation.com/world-university-rankings/university-maryland-college-park,College Park,College Park,Maryland,20742,United States
72,72,Arizona State University (Tempe),United States,59.1,41.9,54.3,81.3,67.6,68.5,https://www.timeshighereducation.com/world-university-rankings/arizona-state-university-tempe,1151 South Forest Avenue,Tempe,Arizona,85287,United States
73,73,University of Bonn,Germany,59.0,50.1,61.9,58.8,53.4,82.2,https://www.timeshighereducation.com/world-university-rankings/university-bonn,Regina Pacis Weg 3,,D-53012 Bonn,,Germany
74,74,Purdue University West Lafayette,United States,58.9,51.8,52.1,67.9,73.6,75.7,https://www.timeshighereducation.com/world-university-rankings/purdue-university-west-lafayette,610 Purdue Mall,West Lafayette,Indiana,47907,United States
75,75,Lomonosov Moscow State University,Russian Federation,58.8,71.4,58.5,38.8,70.6,67.7,https://www.timeshighereducation.com/world-university-rankings/lomonosov-moscow-state-university,"['1', 'Lomonosov']",Leninskie Gory,Moscow,119991,Russian Federation
=76,76,University of Bologna,Italy,58.6,50.9,52.1,69.8,80.6,66.7,https://www.timeshighereducation.com/world-university-rankings/university-bologna,Via Zamboni 33,Bologna,Emilia Romagna region,40126,Italy
=76,76,University of Glasgow,United Kingdom,58.6,45.2,43.4,81.3,60.3,93.9,https://www.timeshighereducation.com/world-university-rankings/university-glasgow,University Avenue,Glasgow City,Glasgow,G12 8QQ,United Kingdom
78,78,Maastricht University,Netherlands,58.3,48.7,41.5,72.0,93.3,95.9,https://www.timeshighereducation.com/world-university-rankings/maastricht-university,Postbus 616,Maastricht,Limburg Province,6200 MD,Netherlands
=79,79,University of Massachusetts,United States,58.2,56.6,47.0,68.2,70.7,69.9,https://www.timeshighereducation.com/world-university-rankings/university-massachusetts,"['One Beacon Street', '31st Floor']",Boston,Massachusetts,02108,United States
=79,79,Yonsei University (Seoul campus),South Korea,58.2,49.1,48.1,76.1,76.2,66.4,https://www.timeshighereducation.com/world-university-rankings/yonsei-university-seoul-campus,50 Yonsei-ro Seodaemun,Seoul,Gyeonggi Province,03722,South Korea
=81,81,Abu Dhabi University,United Arab Emirates,57.9,42.9,32.9,97.4,35.1,96.8,https://www.timeshighereducation.com/world-university-rankings/abu-dhabi-university,Zayed City,Abu Dhabi,Emirate of Abu Dhabi,,United Arab Emirates
=81,81,Lund University,Sweden,57.9,37.8,49.5,82.1,97.2,70.7,https://www.timeshighereducation.com/world-university-rankings/lund-university,P.O. Box 117,Lund,Skane Province,221 00,Sweden
=83,83,HSE University,Russian Federation,57.8,57.4,58.3,55.7,88.1,49.3,https://www.timeshighereducation.com/world-university-rankings/hse-university,Myasnitskaya ulitsa 20,Idaho,Moscow,101000,Russian Federation
=83,83,Pompeu Fabra University,Spain,57.8,49.4,59.9,56.8,69.0,76.4,https://www.timeshighereducation.com/world-university-rankings/pompeu-fabra-university,"['Carrer de la Merce', '12 Edifici de la Merce']",Barcelona,B,08002,Spain
=85,85,Indiana University,United States,57.7,49.0,48.5,73.8,80.5,64.9,https://www.timeshighereducation.com/world-university-rankings/indiana-university,107 South Indiana Avenue,Bloomington,Indiana,47405-7000,United States
=85,85,Western University,Canada,57.7,53.4,38.2,70.4,91.6,90.3,https://www.timeshighereducation.com/world-university-rankings/western-university,1151 Richmond Street,London,Ontario,N6A 3K7,Canada
87,87,University of Reading,United Kingdom,57.5,37.3,38.8,90.9,69.9,92.8,https://www.timeshighereducation.com/world-university-rankings/university-reading,Whiteknights House Whiteknights,Reading,Berkshire,RG6 6AH,United Kingdom
=88,88,University of Nottingham,United Kingdom,57.3,43.3,40.7,80.5,66.3,94.9,https://www.timeshighereducation.com/world-university-rankings/university-nottingham,University Park,Nottingham,Nottinghamshire,NG7 2RD,United Kingdom
=88,88,UNSW Sydney,Australia,57.3,43.0,47.6,71.1,76.3,92.4,https://www.timeshighereducation.com/world-university-rankings/unsw-sydney,"['High Street', 'Kensington']",Sydney,New South Wales,2052,Australia
90,90,Lancaster University,United Kingdom,57.2,44.1,42.0,76.4,67.4,96.4,https://www.timeshighereducation.com/world-university-rankings/lancaster-university,Bailrigg,Lancaster,Lancashire,LA1 4YW,United Kingdom
91,91,McGill University,Canada,57.1,46.7,45.0,68.3,80.1,93.6,https://www.timeshighereducation.com/world-university-rankings/mcgill-university,845 Sherbrooke Street West,Montreal,,H3A 0G4,Canada
92,92,University of Navarra,Spain,57.0,56.1,38.4,68.6,54.3,93.8,https://www.timeshighereducation.com/world-university-rankings/university-navarra,Pamplona,,NA,31009,Spain
=93,93,University of Amsterdam,Netherlands,56.9,43.9,45.9,72.1,72.9,90.3,https://www.timeshighereducation.com/world-university-rankings/university-amsterdam,PO Box 19268,Amsterdam,North Holland Province,1012 WP,Netherlands
=93,93,University of Science and Technology of China,China,56.9,39.2,40.8,84.5,99.9,77.8,https://www.timeshighereducation.com/world-university-rankings/university-science-and-technology-china,No.96 Jinzhai Road Road Baohe District,Hefei,Anhui Province,230026,China
=95,95,University of Florida,United States,56.8,38.8,59.0,77.8,68.4,46.9,https://www.timeshighereducation.com/world-university-rankings/university-florida,Gainesville,Gainesville,Florida,32611,United States
=95,95,University of North Carolina at Chapel Hill,United States,56.8,44.6,54.9,72.5,68.8,55.6,https://www.timeshighereducation.com/world-university-rankings/university-north-carolina-chapel-hill,174 Country Club Road,Chapel Hill,North Carolina,27599,United States
97,97,Penn State (Main campus),United States,56.7,47.8,55.3,67.4,67.2,58.0,https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus,201 Old Main University Park,DUBOIS,Pennsylvania,16802,United States
98,98,Sungkyunkwan University (SKKU),South Korea,56.6,49.5,47.9,62.3,97.4,78.0,https://www.timeshighereducation.com/world-university-rankings/sungkyunkwan-university-skku,25-2 Sungkyunkwan-Ro,Jongno-gu,11,561-758,South Korea
99,99,University of Birmingham,United Kingdom,56.1,42.4,36.2,82.0,68.2,95.4,https://www.timeshighereducation.com/world-university-rankings/university-birmingham,"['Chancellors Court', 'Edgbaston']",Birmingham,West Midlands,B15 2TT,United Kingdom
100,100,University of Surrey,United Kingdom,56.0,33.1,36.5,91.4,66.1,98.2,https://www.timeshighereducation.com/world-university-rankings/university-surrey,Stag Hill,Guildford,Surrey,GU2 7XH,United Kingdom
101–125,101,Adelaide University,Australia,55.9,30.9,41.2,76.9,99.4,93.2,https://www.timeshighereducation.com/world-university-rankings/adelaide-university,Adelaide,Adelaide,South Australia,5005,Australia
101–125,101,Beijing Institute of Technology,China,55.9,29.6,31.0,97.9,92.9,66.8,https://www.timeshighereducation.com/world-university-rankings/beijing-institute-technology,5 South Zhongguancun Street,Haidian District,Beijing,100081,China
101–125,101,Boston College,United States,55.9,51.4,29.5,77.0,59.2,65.6,https://www.timeshighereducation.com/world-university-rankings/boston-college,140 Commonwealth Avenue,Chestnut Hill,Massachusetts,02467,United States
101–125,101,"City St George's, University of London",United Kingdom,55.9,40.4,36.4,70.2,53.0,96.9,https://www.timeshighereducation.com/world-university-rankings/city-st-georgesuniversity-oflondon,Northampton Square,London,London,EC1V 0HB,United Kingdom
101–125,101,Durham University,United Kingdom,55.9,32.6,34.2,83.5,44.9,97.6,https://www.timeshighereducation.com/world-university-rankings/durham-university,Stockton Road The Palatine Center,Durham,Durham,DH1 3LE,United Kingdom
101–125,101,Griffith University,Australia,55.9,32.3,38.1,81.4,82.2,88.5,https://www.timeshighereducation.com/world-university-rankings/griffith-university,170 Kessels Rd,Nathan,Queensland,4111,Australia
101–125,101,Institut Polytechnique de Paris,France,55.9,47.1,43.5,61.7,99.6,84.5,https://www.timeshighereducation.com/world-university-rankings/institut-polytechnique-de-paris,Route de Saclay,Palaiseau,Ile de France,91120,France
101–125,101,Kyoto University,Japan,55.9,50.5,60.5,47.2,99.4,59.2,https://www.timeshighereducation.com/world-university-rankings/kyoto-university,"['Yoshida-honmachi', 'Sakyo-ku']",Kyoto,26,606-8501,Japan
101–125,101,Macquarie University,Australia,55.9,29.6,31.2,85.5,97.7,90.3,https://www.timeshighereducation.com/world-university-rankings/macquarie-university,"['Balaclava Road', 'Macquarie Park']",Sydney,New South Wales,2109,Australia
101–125,101,Nanjing University,China,55.9,43.9,38.8,78.2,98.3,63.7,https://www.timeshighereducation.com/world-university-rankings/nanjing-university,"['22 Hankou Road', 'Gulou District']",Nanjing,Jiangsu,210093,China
101–125,101,National Taiwan University (NTU),Taiwan,55.9,41.9,49.6,64.7,100.0,57.0,https://www.timeshighereducation.com/world-university-rankings/national-taiwan-university-ntu,"['No 1 Section 4', 'Roosevelt Road Daan District']",Taipei City,Taipei,10617,Taiwan
101–125,101,Ohio State University (Main campus),United States,55.9,37.9,56.0,68.3,68.3,63.1,https://www.timeshighereducation.com/world-university-rankings/ohio-state-university-main-campus,281 West Lane Avenue Building Room 604,Columbus,Ohio,43210,United States
101–125,101,Paris Sciences et Lettres – PSL Research University Paris,France,55.9,48.9,50.8,56.6,75.4,58.4,https://www.timeshighereducation.com/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris,60 Rue Mazarine,Paris,Ile de France Region,75006,France
101–125,101,Politecnico di Milano,Italy,55.9,36.1,48.7,75.5,98.6,48.0,https://www.timeshighereducation.com/world-university-rankings/politecnico-di-milano,Piazza Leonardo da Vinci 32,,Milano,20133,Italy
101–125,101,Tongji University,China,55.9,32.3,36.7,80.3,100.0,87.5,https://www.timeshighereducation.com/world-university-rankings/tongji-university,1239 Siping Road,Shanghai,Shanghai,,China
101–125,101,Trinity College Dublin,Ireland,55.9,38.2,31.5,88.4,61.6,89.7,https://www.timeshighereducation.com/world-university-rankings/trinity-college-dublin,College Green,Dublin,Leinster,D02 PN40,Ireland
101–125,101,Université de Montréal,Canada,55.9,45.5,42.9,66.8,92.4,76.8,https://www.timeshighereducation.com/world-university-rankings/universite-de-montreal,2900 Boulevard Edouard Montpetit,Montreal,Quebec,H3T 1J4,Canada
101–125,101,Universiti Teknologi Petronas,Malaysia,55.9,33.8,31.5,95.1,99.9,69.9,https://www.timeshighereducation.com/world-university-rankings/universiti-teknologi-petronas,Persiaran UTP,Perak Darul Ridzuan,Seri Iskandar,32610,Malaysia
101–125,101,University of Bath,United Kingdom,55.9,42.9,35.3,79.6,62.8,94.8,https://www.timeshighereducation.com/world-university-rankings/university-bath,Claverton Down,Bath,Somerset,BA2 7AY,United Kingdom
101–125,101,University of Leeds,United Kingdom,55.9,38.9,41.8,75.8,67.1,94.2,https://www.timeshighereducation.com/world-university-rankings/university-leeds,Woodhouse Lane,Leeds,West Yorkshire,LS2 9JT,United Kingdom
101–125,101,University of Liverpool,United Kingdom,55.9,38.9,36.2,72.6,59.6,96.9,https://www.timeshighereducation.com/world-university-rankings/university-liverpool,Foundation Building Brownlow Hill,Liverpool,,L69 7ZX,United Kingdom
101–125,101,University of Malaya,Malaysia,55.9,43.3,43.5,66.7,72.7,76.9,https://www.timeshighereducation.com/world-university-rankings/university-malaya,Jalan Universiti,Kuala Lumpur,14,50603,Malaysia
101–125,101,University of Southampton,United Kingdom,55.9,32.5,32.9,90.3,67.0,98.3,https://www.timeshighereducation.com/world-university-rankings/university-southampton,"['University Road', 'Highfield']",Southampton,Hampshire,SO17 1BJ,United Kingdom
101–125,101,University of Vienna,Austria,55.9,43.5,53.5,59.3,71.7,89.6,https://www.timeshighereducation.com/world-university-rankings/university-vienna,Universitatsring 1,Vienna,Vienna,1010,Austria
