rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url
=64,64,Universidade Federal de Juiz de Fora,Brazil,24.7,27.0,15.4,33.9,25.1,31.5,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-de-juiz-de-fora
=67,67,Universidad del Desarrollo,Chile,24.6,19.9,14.4,39.0,28.0,51.0,https://www.timeshighereducation.com/world-university-rankings/universidad-del-desarrollo
=67,67,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,24.6,32.2,14.0,25.9,21.9,35.0,https://www.timeshighereducation.com/world-university-rankings/universidade-estadual-do-norte-fluminense-darcy-ribeiro
69,69,Londrina State University,Brazil,24.5,32.6,13.7,27.6,26.9,25.9,https://www.timeshighereducation.com/world-university-rankings/londrina-state-university
=70,70,Alberto Hurtado University,Chile,24.4,17.0,21.8,38.4,16.0,37.7,https://www.timeshighereducation.com/world-university-rankings/alberto-hurtado-university
=70,70,Federal University of Pará,Brazil,24.4,28.6,14.7,31.5,28.4,26.5,https://www.timeshighereducation.com/world-university-rankings/federal-university-para
=70,70,Universidade do Estado de Santa Catarina,Brazil,24.4,34.5,13.5,24.5,27.4,23.9,https://www.timeshighereducation.com/world-university-rankings/universidade-do-estado-de-santa-catarina
=73,73,Universidad Andrés Bello (UNAB),Chile,24.3,18.6,12.5,43.9,22.4,52.5,https://www.timeshighereducation.com/world-university-rankings/universidad-andres-bello-unab
=73,73,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,24.3,26.5,16.4,30.4,30.4,30.3,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-de-ciencias-da-saude-de-porto-alegre-ufcspa
=75,75,Pontificia Universidad Javeriana,Colombia,23.9,24.0,14.9,31.7,24.4,43.0,https://www.timeshighereducation.com/world-university-rankings/pontificia-universidad-javeriana
=75,75,Universidad Católica de la Santísima Concepción,Chile,23.9,13.4,23.5,34.2,17.6,50.3,https://www.timeshighereducation.com/world-university-rankings/universidad-catolica-de-la-santisima-concepcion
77,77,Yachay University for Experimental Technology and Research (Yachay Tech),Ecuador,23.8,23.6,13.2,24.6,20.8,70.9,https://www.timeshighereducation.com/world-university-rankings/yachay-university-experimental-technology-and-research-yachay-tech
=78,78,State University of Ponta Grossa,Brazil,23.3,27.7,19.7,20.2,20.6,28.1,https://www.timeshighereducation.com/world-university-rankings/state-university-ponta-grossa
=78,78,Universidad Autónoma de Chile,Chile,23.3,16.7,15.3,36.5,20.7,55.5,https://www.timeshighereducation.com/world-university-rankings/universidad-autonoma-de-chile
=78,78,Universidad Regional Amazónica Ikiam,Ecuador,23.3,24.1,10.5,28.7,16.1,65.9,https://www.timeshighereducation.com/world-university-rankings/universidad-regional-amazonica-ikiam
81,81,University of La Serena,Chile,23.2,18.3,11.9,41.4,17.3,50.3,https://www.timeshighereducation.com/world-university-rankings/university-la-serena
82,82,Austral University,Argentina,23.0,24.8,13.3,25.2,22.0,52.5,https://www.timeshighereducation.com/world-university-rankings/austral-university
=83,83,University of Las Américas (UDLA),Ecuador,22.8,22.2,11.1,27.6,25.2,63.0,https://www.timeshighereducation.com/world-university-rankings/university-las-americas-udla
=83,83,University of Los Lagos,Chile,22.8,19.0,18.3,28.5,16.6,48.5,https://www.timeshighereducation.com/world-university-rankings/university-los-lagos
=85,85,Escuela Politécnica Nacional,Ecuador,22.7,21.8,11.1,33.9,24.6,47.4,https://www.timeshighereducation.com/world-university-rankings/escuela-politecnica-nacional
=85,85,University of Costa Rica,Costa Rica,22.7,25.9,11.2,27.3,23.2,45.6,https://www.timeshighereducation.com/world-university-rankings/university-costa-rica
87,87,University of Valparaíso,Chile,22.6,20.3,15.9,29.4,20.6,46.7,https://www.timeshighereducation.com/world-university-rankings/university-valparaiso
88,88,Universidad Pontificia Bolivariana (UPB),Colombia,22.4,28.4,13.9,18.7,36.1,34.8,https://www.timeshighereducation.com/world-university-rankings/universidad-pontificia-bolivariana-upb
=89,89,National University of San Martín,Argentina,22.2,25.0,12.4,24.0,27.6,45.2,https://www.timeshighereducation.com/world-university-rankings/national-university-san-martin
=89,89,Universidad UTE,Ecuador,22.2,20.0,9.5,35.1,17.4,56.9,https://www.timeshighereducation.com/world-university-rankings/universidad-ute
=91,91,Antonio Nariño University,Colombia,22.1,19.8,9.0,37.9,17.1,51.5,https://www.timeshighereducation.com/world-university-rankings/antonio-narino-university
=91,91,Universidad Autónoma de Querétaro,Mexico,22.1,27.1,13.2,24.4,29.8,28.3,https://www.timeshighereducation.com/world-university-rankings/universidad-autonoma-de-queretaro
93,93,University of La Sabana,Colombia,21.9,24.0,13.2,25.5,21.3,41.8,https://www.timeshighereducation.com/world-university-rankings/university-la-sabana
94,94,University of Antofagasta,Chile,21.6,23.9,11.1,23.3,18.1,55.0,https://www.timeshighereducation.com/world-university-rankings/university-antofagasta
=95,95,University of Medellín,Colombia,21.5,21.8,14.0,24.7,23.0,44.5,https://www.timeshighereducation.com/world-university-rankings/university-medellin
