rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_with_phd_score,staff_with_phd_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,employer_reputation_score,employer_reputation_rank
78,78,Instituto Tecnológico de Buenos Aires (ITBA),Argentina,Buenos Aires,Latin America,47.7,https://www.topuniversities.com/universities/instituto-tecnologico-de-buenos-aires-itba,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-de-buenos-aires-itba_592560cf2aeae70239af4bae_medium.jpg,37.6,147,8.5,179,46.1,74,69.8,45,12.2,166,13.9,170,15.8,161,84.2,28
78,79,Universidad Nacional de Cuyo,Argentina,Mendoza,Latin America,47.6,https://www.topuniversities.com/universities/universidad-nacional-de-cuyo,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-cuyo_592560cf2aeae70239af5124_medium.jpg,25.6,=165,27.6,157,62.3,49,36.7,123,7.8,=166,78.5,75,22.3,=161,45.6,71
80,80,Universidade Federal do Rio Grande do Norte (UFRN),Brazil,Rio Grande do Norte,Latin America,47.2,https://www.topuniversities.com/universities/universidade-federal-do-rio-grande-do-norte-ufrn,https://www.topuniversities.com/sites/default/files/universidade-federal-do-rio-grande-do-norte_592560cf2aeae70239af5357_medium.jpg,48.9,122,78.8,52,30.8,109,19.9,=150,96.1,29,95.5,25,87.3,25,6,=108
81,81,Universidade Federal de Pelotas,Brazil,Pelotas,Latin America,46.5,https://www.topuniversities.com/universities/universidade-federal-de-pelotas,https://www.topuniversities.com/sites/default/files/universidade-federal-de-pelotas-_592560cf2aeae70239af553d_medium.jpg,59.9,85,85.1,42,25.4,=114,50,85,95.9,31,75.2,82,47.6,74,9,=108
82,82,Universidade Federal da Paraíba,Brazil,João Pessoa,Latin America,46.4,https://www.topuniversities.com/universities/universidade-federal-da-paraba,https://www.topuniversities.com/sites/default/files/220304121353pm298963ufpb-90x90.jpeg,36.8,154,71.2,67,28.1,=114,21,=150,94.3,40,94.2,32,77.3,35,17.9,=108
83,83,Universidad de Las Américas (UDLA) Ecuador,Ecuador,Quito,Latin America,46.3,https://www.topuniversities.com/universities/universidad-de-las-americas-udla-ecuador,https://www.topuniversities.com/sites/default/files/251111022435pm932572UDLA-90x90.jpg,66.8,64,18.2,=179,54.4,58,42.6,107,11.6,=166,65.1,100,12.4,=161,37.5,86
84,84,Universidad Nacional de San Martín (UNSAM),Argentina,Buenos Aires,Latin America,46,https://www.topuniversities.com/universities/universidad-nacional-de-san-martin-unsam,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-san-martn-unsam_592560cf2aeae70239af5690_medium.jpg,20.9,=165,54.2,88,57.4,53,15.3,=150,57.9,97,81.6,65,35.9,112,21.9,=108
85,85,Universidade Estadual de Maringá,Brazil,Maringá,Latin America,45.7,https://www.topuniversities.com/universities/universidade-estadual-de-maringa,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-maring_592560cf2aeae70239af5529_medium.jpg,61.6,79,82.2,45,18.8,=114,47.8,88,95.4,37,78.6,73,81.4,30,6,=108
85,86,Universidade Federal de Uberlândia,Brazil,Uberlândia,Latin America,45.7,https://www.topuniversities.com/universities/universidade-federal-de-uberlandia,https://www.topuniversities.com/sites/default/files/universidade-federal-de-uberlndia_592560cf2aeae70239af5544_medium.jpg,55,97,65.4,71,26.1,=114,40.1,116,94.1,42,85.4,59,51.2,62,11.5,=108
87,87,Universidade Federal do ABC,Brazil,Santo André,Latin America,45.5,https://www.topuniversities.com/universities/universidade-federal-do-abc,https://www.topuniversities.com/sites/default/files/universidade-federal-do-abc_59b033e4acb2956e0b3fac91_medium.jpg,85.6,34,98.8,16,20.9,=114,11.8,=150,99.7,=3,74.7,84,49.1,69,11.9,=108
88,88,Escuela Politécnica Nacional,Ecuador,Quito,Latin America,45.3,https://www.topuniversities.com/universities/escuela-politecnica-nacional,https://www.topuniversities.com/sites/default/files/escuela-politcnica-nacional_592560cf2aeae70239af589c_medium.jpg,31.2,=165,74.2,59,42.1,86,33.2,146,42.7,120,62.1,108,33,126,40.4,75
88,89,Universidad Peruana de Ciencias Aplicadas (UPC),Peru,Monterrico,Latin America,45.3,https://www.topuniversities.com/universities/universidad-peruana-de-ciencias-aplicadas-upc,https://www.topuniversities.com/sites/default/files/240206095824pm847134upc-logo-90x90.jpg,1.4,=165,15.4,=179,58.4,50,10.9,=150,5.6,=166,43.5,168,34.5,121,84.1,29
90,90,Universidade Federal de Lavras,Brazil,Lavras,Latin America,45.1,https://www.topuniversities.com/universities/universidade-federal-de-lavras,https://www.topuniversities.com/sites/default/files/universidade-federal-de-lavras_2742_medium.jpg,64.2,71,99.6,8,18.2,=114,28.4,=150,98.3,19,80.2,68,62.1,45,11.1,=108
91,91,Universidad Nacional de Mar del Plata,Argentina,Mar del Plata,Latin America,45,https://www.topuniversities.com/universities/universidad-nacional-de-mar-del-plata,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-mar-del-plata_592560cf2aeae70239af5125_medium.jpg,40.5,139,74,60,44.1,82,13.2,=150,57.1,99,74.5,85,49.5,68,24,=108
92,92,Universidade Federal de Juiz de Fora- (UFJF),Brazil,Juiz de For a,Latin America,44.2,https://www.topuniversities.com/universities/universidade-federal-de-juiz-de-fora-ufjf,https://www.topuniversities.com/sites/default/files/universidade-federal-de-juiz-de-fora-ufjf_592560cf2aeae70239af5539_medium.jpg,32.4,=165,65.5,70,21.1,=114,55.1,76,91.3,51,91.2,46,46,78,15.7,=108
