rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank
=93,93,Universidad Carlos III de Madrid (UC3M),Spain,Madrid,Europe,68.8,https://www.topuniversities.com/universities/universidad-carlos-iii-de-madrid-uc3m,https://www.topuniversities.com/sites/default/files/universidad-carlos-iii-de-madrid-uc3m_1509_medium.jpg,63.5,101+,69.2,101+,62.1,101+,73.3,62
=93,94,University of Bristol,United Kingdom,Bristol,Europe,68.8,https://www.topuniversities.com/universities/university-bristol,https://www.topuniversities.com/sites/default/files/240227125013pm861333White-90x90.jpg,69.8,=90,73.4,101+,69.5,101+,67.2,101+
=95,95,RMIT University,Australia,Melbourne,Oceania,68.7,https://www.topuniversities.com/universities/rmit-university,https://www.topuniversities.com/sites/default/files/rmit-university_592560cf2aeae70239af4c95_medium.jpg,64.6,101+,90.4,8,85,29,63.6,101+
=95,96,University of North Carolina at Chapel Hill,United States,Chapel Hill,North America,68.7,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill,https://www.topuniversities.com/sites/default/files/251009050439pm793541SOEBlueLogo-200x200-Vertical-Resized-90x90.jpg,60.7,101+,72.1,101+,71.4,101+,72.3,=69
=95,97,Université PSL,France,Paris,Europe,68.7,https://www.topuniversities.com/universities/universite-psl,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_medium.jpg,73.2,=62,65.8,101+,68.4,101+,66.6,101+
=98,98,Alma Mater Studiorum - Università di Bologna,Italy,Bologna,Europe,68.6,https://www.topuniversities.com/universities/alma-mater-studiorum-universita-di-bologna,https://www.topuniversities.com/sites/default/files/240304015357pm262606Unibo-200X200-90x90.jpg,67.1,101+,75.8,101+,71.3,101+,67.6,101+
=98,99,Arizona State University,United States,Tempe,North America,68.6,https://www.topuniversities.com/universities/arizona-state-university,https://www.topuniversities.com/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_medium.jpg,65.3,101+,75.2,101+,78,101+,67.3,101+
=98,100,University of Florida,United States,Gainesville,North America,68.6,https://www.topuniversities.com/universities/university-florida,https://www.topuniversities.com/sites/default/files/university-of-florida_212_medium.jpg,60.1,101+,75.2,101+,78.8,=91,70.3,88
=98,101,University of Technology Sydney,Australia,Sydney,Oceania,68.6,https://www.topuniversities.com/universities/university-technology-sydney,https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_medium.jpg,65.4,101+,80.4,=89,76.7,101+,66.6,101+
101-150,102,Bilkent University,Türkiye,Ankara,Asia,n/a,https://www.topuniversities.com/universities/bilkent-university,https://www.topuniversities.com/sites/default/files/bilkent-university_58_medium.jpg,65.4,101+,76.4,101+,84.5,=30,58.8,101+
101-150,103,Boston College,United States,Chestnut Hill,North America,n/a,https://www.topuniversities.com/universities/boston-college,https://www.topuniversities.com/sites/default/files/boston-college_723_medium.jpg,55.8,101+,77.5,101+,84.5,=30,68,101+
101-150,104,Carnegie Mellon University,United States,Pittsburgh,North America,n/a,https://www.topuniversities.com/universities/carnegie-mellon-university,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_medium.jpg,72.1,=73,60.7,101+,59.5,101+,67.4,101+
101-150,105,"City St George’s, University of London",United Kingdom,London,Europe,n/a,https://www.topuniversities.com/universities/city-st-georges-university-london,https://www.topuniversities.com/sites/default/files/250714100347am877855240911011532pm115235Picture1-200x200-90x90.jpg,58.9,101+,74.7,101+,73.7,101+,69.8,89
101-150,106,Dublin City University,Ireland,Dublin,Europe,n/a,https://www.topuniversities.com/universities/dublin-city-university,https://www.topuniversities.com/sites/default/files/251001112050am424289Study-Portals-Logo-QS-90x90.jpg,58.5,101+,88,=15,96.9,=3,59.7,101+
101-150,107,EDHEC Business School,France,Lille,Europe,n/a,https://www.topuniversities.com/universities/edhec-business-school,https://www.topuniversities.com/sites/default/files/251128040531pm935341logo-carr%C3%A9-EDHEC-90x90.jpg,62.7,101+,63.9,101+,62.1,101+,68.6,101+
101-150,108,EPFL – École polytechnique fédérale de Lausanne,Switzerland,Lausanne,Europe,n/a,https://www.topuniversities.com/universities/epfl-ecole-polytechnique-federale-de-lausanne,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_medium.jpg,76.7,37,52.2,101+,54.7,101+,65.7,101+
101-150,109,Frankfurt School of Finance and Management,Germany,Frankfurt,Europe,n/a,https://www.topuniversities.com/universities/frankfurt-school-finance-management,https://www.topuniversities.com/sites/default/files/260324095230am764288boxed-frankfurt-school-logo-90x90.jpg,49.8,101+,67.6,101+,69.5,101+,72.9,64
101-150,110,Georgetown University,United States,Washington D.C.,North America,n/a,https://www.topuniversities.com/universities/georgetown-university,https://www.topuniversities.com/sites/default/files/220714055746am997087Georgetown-90x90.jpg,65.2,101+,71.4,101+,73.9,101+,62.2,101+
101-150,111,HSE University,Russia,Moscow,Europe,n/a,https://www.topuniversities.com/universities/hse-university,https://www.topuniversities.com/sites/default/files/220303011024pm152717HSE-logo-90x90.jpg,66.2,101+,79,101+,65.4,101+,63.7,101+
101-150,112,Indian Institute of Management Bangalore (IIMB),India,Bengaluru,Asia,n/a,https://www.topuniversities.com/universities/indian-institute-management-bangalore-iimb,https://www.topuniversities.com/sites/default/files/indian-institute-of-management-iim-bangalore_1903_medium.jpg,76.9,=34,56.9,101+,50.4,101+,65.5,101+
101-150,113,Indiana University Bloomington,United States,Bloomington,North America,n/a,https://www.topuniversities.com/universities/indiana-university-bloomington,https://www.topuniversities.com/sites/default/files/indiana-university-bloomington_289_medium.jpg,51.4,101+,76.4,101+,77.8,101+,69,=97
101-150,114,Keio University,Japan,Tokyo,Asia,n/a,https://www.topuniversities.com/universities/keio-university,https://www.topuniversities.com/sites/default/files/keio-university_592560cf2aeae70239af4bbe_medium.jpg,71.4,=79,70,101+,75.7,101+,61.6,101+
101-150,115,King Abdulaziz University (KAU),Saudi Arabia,Jeddah,Asia,n/a,https://www.topuniversities.com/universities/king-abdulaziz-university-kau,https://www.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_medium.jpg,62.1,101+,80.4,=89,79,=88,67,101+
101-150,116,Kyoto University,Japan,Kyoto,Asia,n/a,https://www.topuniversities.com/universities/kyoto-university,https://www.topuniversities.com/sites/default/files/kyoto-university_328_medium.jpg,76.9,=34,58.2,101+,49.8,101+,68.8,101+
101-150,117,Lahore University of Management Sciences (LUMS),Pakistan,Lahore,Asia,n/a,https://www.topuniversities.com/universities/lahore-university-management-sciences-lums,https://www.topuniversities.com/sites/default/files/lahore-university-of-management-sciences-lums_592560cf2aeae70239af531b_medium.jpg,63.9,101+,75.2,101+,85.6,25,60.4,101+
101-150,118,Ludwig-Maximilians-Universität München,Germany,Munich,Europe,n/a,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_medium.jpg,68.9,101+,77.5,101+,67.9,101+,65,101+
101-150,119,Luiss University,Italy,Rome,Europe,n/a,https://www.topuniversities.com/universities/luiss-university,https://www.topuniversities.com/sites/default/files/260202103306am481275Luiss-UniversitaDiRoma-ML-POS-COL-PANTONE-90x90.jpg,71.3,82,75.2,101+,71.7,101+,64.8,101+
101-150,120,Michigan State University,United States,East Lansing,North America,n/a,https://www.topuniversities.com/universities/michigan-state-university,https://www.topuniversities.com/sites/default/files/michigan-state-university_402_medium.jpg,62.1,101+,66.7,101+,69.4,101+,67,101+
101-150,121,Oxford Brookes University,United Kingdom,Oxford,Europe,n/a,https://www.topuniversities.com/universities/oxford-brookes-university,https://www.topuniversities.com/sites/default/files/oxford-brookes-university_592560cf2aeae70239af4c61_medium.jpg,73.6,=58,53.9,101+,61.9,101+,69.1,=95
